alpha [deg],beta [deg],mach [-],CA0 [-]
-2,-2,0.01,1.0637
-1,-2,0.01,1.064
0,-2,0.01,1.0641
1,-2,0.01,1.064
2,-2,0.01,1.0637
-2,-2,0.1,0.8857
-1,-2,0.1,0.886
0,-2,0.1,0.8861
1,-2,0.1,0.886
2,-2,0.1,0.8857
-2,-2,0.2,0.8839
-1,-2,0.2,0.8842
0,-2,0.2,0.8842
1,-2,0.2,0.8842
2,-2,0.2,0.8839
-2,-2,0.5,0.8765
-1,-2,0.5,0.8768
0,-2,0.5,0.8769
1,-2,0.5,0.8768
2,-2,0.5,0.8765
-2,-2,0.75,0.9046
-1,-2,0.75,0.9049
0,-2,0.75,0.9049
1,-2,0.75,0.9049
2,-2,0.75,0.9046
-2,-2,1,1.4201
-1,-2,1,1.4206
0,-2,1,1.4207
1,-2,1,1.4206
2,-2,1,1.4201
-2,-1,0.01,1.064
-1,-1,0.01,1.0642
0,-1,0.01,1.0643
1,-1,0.01,1.0642
2,-1,0.01,1.064
-2,-1,0.1,0.886
-1,-1,0.1,0.8862
0,-1,0.1,0.8862
1,-1,0.1,0.8862
2,-1,0.1,0.886
-2,-1,0.2,0.8842
-1,-1,0.2,0.8844
0,-1,0.2,0.8844
1,-1,0.2,0.8844
2,-1,0.2,0.8842
-2,-1,0.5,0.8768
-1,-1,0.5,0.877
0,-1,0.5,0.877
1,-1,0.5,0.877
2,-1,0.5,0.8768
-2,-1,0.75,0.9049
-1,-1,0.75,0.9051
0,-1,0.75,0.9052
1,-1,0.75,0.9051
2,-1,0.75,0.9049
-2,-1,1,1.4206
-1,-1,1,1.4209
0,-1,1,1.421
1,-1,1,1.4209
2,-1,1,1.4206
-2,0,0.01,1.0641
-1,0,0.01,1.0643
0,0,0.01,1.0642
1,0,0.01,1.0643
2,0,0.01,1.0641
-2,0,0.1,0.8861
-1,0,0.1,0.8862
0,0,0.1,0.8861
1,0,0.1,0.8862
2,0,0.1,0.8861
-2,0,0.2,0.8842
-1,0,0.2,0.8844
0,0,0.2,0.8843
1,0,0.2,0.8844
2,0,0.2,0.8842
-2,0,0.5,0.8769
-1,0,0.5,0.877
0,0,0.5,0.877
1,0,0.5,0.877
2,0,0.5,0.8769
-2,0,0.75,0.9049
-1,0,0.75,0.9052
0,0,0.75,0.9051
1,0,0.75,0.9052
2,0,0.75,0.9049
-2,0,1,1.4207
-1,0,1,1.421
0,0,1,1.421
1,0,1,1.421
2,0,1,1.4207
-2,1,0.01,1.064
-1,1,0.01,1.0642
0,1,0.01,1.0643
1,1,0.01,1.0642
2,1,0.01,1.064
-2,1,0.1,0.886
-1,1,0.1,0.8862
0,1,0.1,0.8862
1,1,0.1,0.8862
2,1,0.1,0.886
-2,1,0.2,0.8842
-1,1,0.2,0.8844
0,1,0.2,0.8844
1,1,0.2,0.8844
2,1,0.2,0.8842
-2,1,0.5,0.8768
-1,1,0.5,0.877
0,1,0.5,0.877
1,1,0.5,0.877
2,1,0.5,0.8768
-2,1,0.75,0.9049
-1,1,0.75,0.9051
0,1,0.75,0.9052
1,1,0.75,0.9051
2,1,0.75,0.9049
-2,1,1,1.4206
-1,1,1,1.4209
0,1,1,1.421
1,1,1,1.4209
2,1,1,1.4206
-2,2,0.01,1.0637
-1,2,0.01,1.064
0,2,0.01,1.0641
1,2,0.01,1.064
2,2,0.01,1.0637
-2,2,0.1,0.8857
-1,2,0.1,0.886
0,2,0.1,0.8861
1,2,0.1,0.886
2,2,0.1,0.8857
-2,2,0.2,0.8839
-1,2,0.2,0.8842
0,2,0.2,0.8842
1,2,0.2,0.8842
2,2,0.2,0.8839
-2,2,0.5,0.8765
-1,2,0.5,0.8768
0,2,0.5,0.8769
1,2,0.5,0.8768
2,2,0.5,0.8765
-2,2,0.75,0.9046
-1,2,0.75,0.9049
0,2,0.75,0.9049
1,2,0.75,0.9049
2,2,0.75,0.9046
-2,2,1,1.4201
-1,2,1,1.4206
0,2,1,1.4207
1,2,1,1.4206
2,2,1,1.4201
