alpha [deg],beta [deg],mach [-],CLLq [1/rad]
-2,-2,0.01,-0.0
-1,-2,0.01,0.3576
0,-2,0.01,0.0
1,-2,0.01,-0.3576
2,-2,0.01,-0.0
-2,-2,0.1,-0.0
-1,-2,0.1,0.325
0,-2,0.1,-0.0
1,-2,0.1,-0.325
2,-2,0.1,-0.0
-2,-2,0.2,-0.0
-1,-2,0.2,0.2908
0,-2,0.2,0.0
1,-2,0.2,-0.2908
2,-2,0.2,-0.0
-2,-2,0.5,-0.0
-1,-2,0.5,0.2176
0,-2,0.5,0.0
1,-2,0.5,-0.2176
2,-2,0.5,-0.0
-2,-2,0.75,-0.0
-1,-2,0.75,0.1529
0,-2,0.75,0.0
1,-2,0.75,-0.1529
2,-2,0.75,0.0
-2,-2,1,-0.0
-1,-2,1,0.124
0,-2,1,0.0
1,-2,1,-0.124
2,-2,1,-0.0
-2,-1,0.01,-0.3576
-1,-1,0.01,-0.0
0,-1,0.01,0.0
1,-1,0.01,0.0
2,-1,0.01,0.3576
-2,-1,0.1,-0.325
-1,-1,0.1,-0.0
0,-1,0.1,0.0
1,-1,0.1,0.0
2,-1,0.1,0.325
-2,-1,0.2,-0.2908
-1,-1,0.2,-0.0
0,-1,0.2,0.0
1,-1,0.2,-0.0
2,-1,0.2,0.2908
-2,-1,0.5,-0.2176
-1,-1,0.5,-0.0
0,-1,0.5,-0.0
1,-1,0.5,-0.0
2,-1,0.5,0.2176
-2,-1,0.75,-0.1529
-1,-1,0.75,-0.0
0,-1,0.75,-0.0
1,-1,0.75,0.0
2,-1,0.75,0.1529
-2,-1,1,-0.124
-1,-1,1,-0.0
0,-1,1,-0.0
1,-1,1,-0.0
2,-1,1,0.124
-2,0,0.01,0.0
-1,0,0.01,0.0
0,0,0.01,0.0
1,0,0.01,0.0
2,0,0.01,0.0
-2,0,0.1,0.0
-1,0,0.1,0.0
0,0,0.1,0.0
1,0,0.1,0.0
2,0,0.1,-0.0
-2,0,0.2,-0.0
-1,0,0.2,0.0
0,0,0.2,-0.0
1,0,0.2,0.0
2,0,0.2,-0.0
-2,0,0.5,-0.0
-1,0,0.5,0.0
0,0,0.5,0.0
1,0,0.5,-0.0
2,0,0.5,0.0
-2,0,0.75,-0.0
-1,0,0.75,0.0
0,0,0.75,-0.0
1,0,0.75,0.0
2,0,0.75,0.0
-2,0,1,0.0
-1,0,1,0.0
0,0,1,0.0
1,0,1,0.0
2,0,1,0.0
-2,1,0.01,0.3576
-1,1,0.01,-0.0
0,1,0.01,0.0
1,1,0.01,-0.0
2,1,0.01,-0.3576
-2,1,0.1,0.325
-1,1,0.1,-0.0
0,1,0.1,-0.0
1,1,0.1,-0.0
2,1,0.1,-0.325
-2,1,0.2,0.2908
-1,1,0.2,-0.0
0,1,0.2,0.0
1,1,0.2,-0.0
2,1,0.2,-0.2908
-2,1,0.5,0.2176
-1,1,0.5,-0.0
0,1,0.5,-0.0
1,1,0.5,-0.0
2,1,0.5,-0.2176
-2,1,0.75,0.1529
-1,1,0.75,-0.0
0,1,0.75,-0.0
1,1,0.75,-0.0
2,1,0.75,-0.1529
-2,1,1,0.124
-1,1,1,-0.0
0,1,1,0.0
1,1,1,-0.0
2,1,1,-0.1239
-2,2,0.01,-0.0
-1,2,0.01,-0.3576
0,2,0.01,0.0
1,2,0.01,0.3576
2,2,0.01,-0.0
-2,2,0.1,-0.0
-1,2,0.1,-0.325
0,2,0.1,-0.0
1,2,0.1,0.325
2,2,0.1,-0.0
-2,2,0.2,-0.0
-1,2,0.2,-0.2908
0,2,0.2,-0.0
1,2,0.2,0.2908
2,2,0.2,-0.0
-2,2,0.5,-0.0
-1,2,0.5,-0.2176
0,2,0.5,-0.0
1,2,0.5,0.2176
2,2,0.5,-0.0
-2,2,0.75,-0.0
-1,2,0.75,-0.1529
0,2,0.75,-0.0
1,2,0.75,0.1529
2,2,0.75,-0.0
-2,2,1,-0.0
-1,2,1,-0.124
0,2,1,0.0
1,2,1,0.124
2,2,1,-0.0
