alpha [deg],beta [deg],mach [-],CLLr [1/rad]
-2,-2,0.01,0.0
-1,-2,0.01,-0.2587
0,-2,0.01,0.2671
1,-2,0.01,0.2148
2,-2,0.01,0.0
-2,-2,0.1,0.0
-1,-2,0.1,-0.2307
0,-2,0.1,0.2351
1,-2,0.1,0.1874
2,-2,0.1,0.0
-2,-2,0.2,0.0
-1,-2,0.2,-0.1989
0,-2,0.2,0.1991
1,-2,0.2,0.1591
2,-2,0.2,0.0
-2,-2,0.5,0.0
-1,-2,0.5,-0.1166
0,-2,0.5,0.1166
1,-2,0.5,0.1005
2,-2,0.5,0.0
-2,-2,0.75,0.0
-1,-2,0.75,-0.0584
0,-2,0.75,0.0578
1,-2,0.75,0.0633
2,-2,0.75,0.0
-2,-2,1,0.0
-1,-2,1,-0.0394
0,-2,1,0.0267
1,-2,1,0.0397
2,-2,1,0.0
-2,-1,0.01,0.2148
-1,-1,0.01,0.0
0,-1,0.01,0.1486
1,-1,0.01,0.0
2,-1,0.01,-0.2587
-2,-1,0.1,0.1874
-1,-1,0.1,0.0
0,-1,0.1,0.1265
1,-1,0.1,0.0
2,-1,0.1,-0.2307
-2,-1,0.2,0.1591
-1,-1,0.2,0.0
0,-1,0.2,0.1047
1,-1,0.2,0.0
2,-1,0.2,-0.1989
-2,-1,0.5,0.1005
-1,-1,0.5,0.0
0,-1,0.5,0.0574
1,-1,0.5,0.0
2,-1,0.5,-0.1166
-2,-1,0.75,0.0633
-1,-1,0.75,0.0
0,-1,0.75,-0.0029
1,-1,0.75,0.0
2,-1,0.75,-0.0584
-2,-1,1,0.0397
-1,-1,1,0.0
0,-1,1,-0.0188
1,-1,1,0.0
2,-1,1,-0.0394
-2,0,0.01,-0.2671
-1,0,0.01,-0.1485
0,0,0.01,-0.0
1,0,0.01,0.1486
2,0,0.01,0.2671
-2,0,0.1,-0.2351
-1,0,0.1,-0.1265
0,0,0.1,0.0
1,0,0.1,0.1265
2,0,0.1,0.2351
-2,0,0.2,-0.1991
-1,0,0.2,-0.1047
0,0,0.2,-0.0
1,0,0.2,0.1047
2,0,0.2,0.1991
-2,0,0.5,-0.1166
-1,0,0.5,-0.0574
0,0,0.5,-0.0
1,0,0.5,0.0574
2,0,0.5,0.1166
-2,0,0.75,-0.0578
-1,0,0.75,0.0029
0,0,0.75,-0.0
1,0,0.75,-0.0029
2,0,0.75,0.0578
-2,0,1,-0.0267
-1,0,1,0.0188
0,0,1,-0.0
1,0,1,-0.0188
2,0,1,0.0267
-2,1,0.01,-0.2587
-1,1,0.01,0.0
0,1,0.01,0.1486
1,1,0.01,0.0
2,1,0.01,0.2148
-2,1,0.1,-0.2307
-1,1,0.1,0.0
0,1,0.1,0.1265
1,1,0.1,0.0
2,1,0.1,0.1874
-2,1,0.2,-0.1989
-1,1,0.2,0.0
0,1,0.2,0.1047
1,1,0.2,0.0
2,1,0.2,0.1591
-2,1,0.5,-0.1166
-1,1,0.5,0.0
0,1,0.5,0.0574
1,1,0.5,0.0
2,1,0.5,0.1005
-2,1,0.75,-0.0584
-1,1,0.75,0.0
0,1,0.75,-0.0029
1,1,0.75,0.0
2,1,0.75,0.0633
-2,1,1,-0.0394
-1,1,1,0.0
0,1,1,-0.0188
1,1,1,0.0
2,1,1,0.0397
-2,2,0.01,0.0
-1,2,0.01,0.2148
0,2,0.01,0.2671
1,2,0.01,-0.2587
2,2,0.01,0.0
-2,2,0.1,0.0
-1,2,0.1,0.1874
0,2,0.1,0.2351
1,2,0.1,-0.2307
2,2,0.1,0.0
-2,2,0.2,0.0
-1,2,0.2,0.1591
0,2,0.2,0.1991
1,2,0.2,-0.1989
2,2,0.2,0.0
-2,2,0.5,0.0
-1,2,0.5,0.1005
0,2,0.5,0.1166
1,2,0.5,-0.1166
2,2,0.5,0.0
-2,2,0.75,0.0
-1,2,0.75,0.0633
0,2,0.75,0.0578
1,2,0.75,-0.0584
2,2,0.75,0.0
-2,2,1,0.0
-1,2,1,0.0397
0,2,1,0.0267
1,2,1,-0.0394
2,2,1,0.0
