alpha [deg],beta [deg],mach [-],CLN0 [-]
-2,-2,0.01,-2.4405
-1,-2,0.01,-2.3658
0,-2,0.01,-2.3355
1,-2,0.01,-2.3658
2,-2,0.01,-2.4405
-2,-2,0.1,-2.4432
-1,-2,0.1,-2.3686
0,-2,0.1,-2.3384
1,-2,0.1,-2.3686
2,-2,0.1,-2.4432
-2,-2,0.2,-2.4509
-1,-2,0.2,-2.3766
0,-2,0.2,-2.3464
1,-2,0.2,-2.3766
2,-2,0.2,-2.4509
-2,-2,0.5,-2.53
-1,-2,0.5,-2.458
0,-2,0.5,-2.4287
1,-2,0.5,-2.458
2,-2,0.5,-2.53
-2,-2,0.75,-2.5821
-1,-2,0.75,-2.5246
0,-2,0.75,-2.5011
1,-2,0.75,-2.5246
2,-2,0.75,-2.5821
-2,-2,1,-2.8519
-1,-2,1,-2.8041
0,-2,1,-2.7843
1,-2,1,-2.8041
2,-2,1,-2.8519
-2,-1,0.01,-1.2186
-1,-1,0.01,-1.172
0,-1,0.01,-1.1558
1,-1,0.01,-1.172
2,-1,0.01,-1.2186
-2,-1,0.1,-1.22
-1,-1,0.1,-1.1735
0,-1,0.1,-1.1573
1,-1,0.1,-1.1735
2,-1,0.1,-1.22
-2,-1,0.2,-1.2239
-1,-1,0.2,-1.1775
0,-1,0.2,-1.1614
1,-1,0.2,-1.1775
2,-1,0.2,-1.2239
-2,-1,0.5,-1.2638
-1,-1,0.5,-1.2188
0,-1,0.5,-1.2031
1,-1,0.5,-1.2188
2,-1,0.5,-1.2638
-2,-1,0.75,-1.2911
-1,-1,0.75,-1.255
0,-1,0.75,-1.2425
1,-1,0.75,-1.255
2,-1,0.75,-1.2911
-2,-1,1,-1.4277
-1,-1,1,-1.3973
0,-1,1,-1.387
1,-1,1,-1.3973
2,-1,1,-1.4277
-2,0,0.01,-0.0
-1,0,0.01,-0.0
0,0,0.01,-0.0
1,0,0.01,0.0
2,0,0.01,-0.0
-2,0,0.1,-0.0
-1,0,0.1,0.0
0,0,0.1,-0.0
1,0,0.1,0.0
2,0,0.1,-0.0
-2,0,0.2,-0.0
-1,0,0.2,-0.0
0,0,0.2,-0.0
1,0,0.2,0.0
2,0,0.2,-0.0
-2,0,0.5,-0.0
-1,0,0.5,-0.0
0,0,0.5,-0.0
1,0,0.5,0.0
2,0,0.5,0.0
-2,0,0.75,-0.0
-1,0,0.75,-0.0
0,0,0.75,-0.0
1,0,0.75,0.0
2,0,0.75,-0.0
-2,0,1,-0.0
-1,0,1,0.0
0,0,1,-0.0
1,0,1,0.0
2,0,1,0.0
-2,1,0.01,1.2186
-1,1,0.01,1.172
0,1,0.01,1.1558
1,1,0.01,1.172
2,1,0.01,1.2186
-2,1,0.1,1.22
-1,1,0.1,1.1735
0,1,0.1,1.1573
1,1,0.1,1.1735
2,1,0.1,1.22
-2,1,0.2,1.2239
-1,1,0.2,1.1775
0,1,0.2,1.1614
1,1,0.2,1.1775
2,1,0.2,1.2239
-2,1,0.5,1.2638
-1,1,0.5,1.2188
0,1,0.5,1.2031
1,1,0.5,1.2188
2,1,0.5,1.2638
-2,1,0.75,1.2911
-1,1,0.75,1.255
0,1,0.75,1.2425
1,1,0.75,1.255
2,1,0.75,1.2911
-2,1,1,1.4277
-1,1,1,1.3973
0,1,1,1.387
1,1,1,1.3973
2,1,1,1.4277
-2,2,0.01,2.4405
-1,2,0.01,2.3658
0,2,0.01,2.3355
1,2,0.01,2.3658
2,2,0.01,2.4405
-2,2,0.1,2.4432
-1,2,0.1,2.3686
0,2,0.1,2.3384
1,2,0.1,2.3686
2,2,0.1,2.4432
-2,2,0.2,2.4509
-1,2,0.2,2.3766
0,2,0.2,2.3464
1,2,0.2,2.3766
2,2,0.2,2.4509
-2,2,0.5,2.53
-1,2,0.5,2.458
0,2,0.5,2.4287
1,2,0.5,2.458
2,2,0.5,2.53
-2,2,0.75,2.5821
-1,2,0.75,2.5246
0,2,0.75,2.5011
1,2,0.75,2.5246
2,2,0.75,2.5821
-2,2,1,2.8519
-1,2,1,2.8041
0,2,1,2.7843
1,2,1,2.8041
2,2,1,2.8519
