alpha [deg],beta [deg],mach [-],CLNr [1/rad]
-2,-2,0.01,702.1694
-1,-2,0.01,426.3466
0,-2,0.01,-99.3061
1,-2,0.01,-572.2856
2,-2,0.01,-796.718
-2,-2,0.1,701.6728
-1,-2,0.1,425.822
0,-2,0.1,-99.5897
1,-2,0.1,-572.6325
2,-2,0.1,-797.3046
-2,-2,0.2,700.4301
-1,-2,0.2,424.3987
0,-2,0.2,-100.5225
1,-2,0.2,-574.0659
2,-2,0.2,-799.3935
-2,-2,0.5,692.4799
-1,-2,0.5,415.0322
0,-2,0.5,-107.7881
1,-2,0.5,-584.5582
2,-2,0.5,-816.5956
-2,-2,0.75,648.7332
-1,-2,0.75,380.0901
0,-2,0.75,-117.874
1,-2,0.75,-579.313
2,-2,0.75,-816.3124
-2,-2,1,621.9681
-1,-2,1,349.8237
0,-2,1,-144.7777
1,-2,1,-611.3616
2,-2,1,-856.5751
-2,-1,0.01,868.6436
-1,-1,0.01,705.0004
0,-1,0.01,-75.935
1,-1,0.01,-800.0091
2,-1,0.01,-983.0428
-2,-1,0.1,868.2974
-1,-1,0.1,704.4927
0,-1,0.1,-76.324
1,-1,0.1,-800.5918
2,-1,0.1,-983.9224
-2,-1,0.2,867.4604
-1,-1,0.2,703.216
0,-1,0.2,-77.4969
1,-1,0.2,-802.6652
2,-1,0.2,-986.6762
-2,-1,0.5,863.7722
-1,-1,0.5,694.9963
0,-1,0.5,-86.9364
1,-1,0.5,-819.7295
2,-1,0.5,-1011.4064
-2,-1,0.75,822.6207
-1,-1,0.75,650.8887
0,-1,0.75,-102.9073
1,-1,0.75,-819.3105
2,-1,0.75,-1014.1197
-2,-1,1,801.8882
-1,-1,1,624.4778
0,-1,1,-132.6838
1,-1,1,-859.8721
2,-1,1,-1055.715
-2,0,0.01,-1087.2578
-1,0,0.01,-1090.4279
0,0,0.01,-1092.0031
1,0,0.01,-1090.4277
2,0,0.01,-1087.2581
-2,0,0.1,-1088.3134
-1,0,0.1,-1091.5709
0,0,0.1,-1093.1881
1,0,0.1,-1091.5708
2,0,0.1,-1088.3134
-2,0,0.2,-1091.3163
-1,0,0.2,-1094.7695
0,0,0.2,-1096.5062
1,0,0.2,-1094.7694
2,0,0.2,-1091.3163
-2,0,0.5,-1119.9451
-1,0,0.5,-1124.9749
0,0,0.5,-1127.4993
1,0,0.5,-1124.9747
2,0,0.5,-1119.9451
-2,0,0.75,-1124.2737
-1,0,0.75,-1129.4749
0,0,0.75,-1131.9177
1,0,0.75,-1129.4749
2,0,0.75,-1124.2734
-2,0,1,-1165.5634
-1,0,1,-1169.9996
0,0,1,-1172.2148
1,0,1,-1169.9996
2,0,1,-1165.5635
-2,1,0.01,888.0343
-1,1,0.01,705.0005
0,1,0.01,-19.0737
1,1,0.01,-800.009
2,1,0.01,-963.6521
-2,1,0.1,887.8234
-1,1,0.1,704.4927
0,1,0.1,-19.7751
1,1,0.1,-800.5917
2,1,0.1,-964.3964
-2,1,0.2,887.2272
-1,1,0.2,703.2162
0,1,0.2,-21.9521
1,1,0.2,-802.6652
2,1,0.2,-966.9094
-2,1,0.5,886.6733
-1,1,0.5,694.9964
0,1,0.5,-37.7967
1,1,0.5,-819.7294
2,1,0.5,-988.5052
-2,1,0.75,845.6982
-1,1,0.75,650.8887
0,1,0.75,-65.5145
1,1,0.75,-819.3104
2,1,0.75,-991.0425
-2,1,1,820.3207
-1,1,1,624.4779
0,1,1,-102.7106
1,1,1,-859.8722
2,1,1,-1037.2825
-2,2,0.01,702.1695
-1,2,0.01,477.737
0,2,0.01,4.7575
1,2,0.01,-520.8952
2,2,0.01,-796.7181
-2,2,0.1,701.6729
-1,2,0.1,477.0008
0,2,0.1,3.9578
1,2,0.1,-521.4539
2,2,0.1,-797.3045
-2,2,0.2,700.4302
-1,2,0.2,475.1025
0,2,0.2,1.5591
1,2,0.2,-523.362
2,2,0.2,-799.3934
-2,2,0.5,692.4799
-1,2,0.5,460.4423
0,2,0.5,-16.3277
1,2,0.5,-539.1481
2,2,0.5,-816.5957
-2,2,0.75,648.7334
-1,2,0.75,411.7339
0,2,0.75,-49.7051
1,2,0.75,-547.6692
2,2,0.75,-816.3124
-2,2,1,621.9683
-1,2,1,376.7549
0,2,1,-89.8291
1,2,1,-584.4305
2,2,1,-856.575
