alpha [deg],beta [deg],mach [-],CMq [1/rad]
-2,-2,0.01,712.6328
-1,-2,0.01,465.9919
0,-2,0.01,-47.2742
1,-2,0.01,-560.5405
2,-2,0.01,-807.1815
-2,-2,0.1,711.6819
-1,-2,0.1,465.0536
0,-2,0.1,-47.8158
1,-2,0.1,-560.6854
2,-2,0.1,-807.3137
-2,-2,0.2,709.119
-1,-2,0.2,462.5499
0,-2,0.2,-49.4816
1,-2,0.2,-561.5132
2,-2,0.2,-808.0823
-2,-2,0.5,688.4423
-1,-2,0.5,442.2396
0,-2,0.5,-62.0579
1,-2,0.5,-566.3553
2,-2,0.5,-812.5578
-2,-2,0.75,632.5905
-1,-2,0.75,391.2649
0,-2,0.75,-83.7895
1,-2,0.75,-558.8439
2,-2,0.75,-800.1694
-2,-2,1,609.8964
-1,-2,1,360.3727
0,-2,1,-117.3034
1,-2,1,-594.9795
2,-2,1,-844.5031
-2,-1,0.01,896.8523
-1,-1,0.01,715.9181
0,-1,0.01,-47.5043
1,-1,0.01,-810.9266
2,-1,0.01,-991.8607
-2,-1,0.1,896.2658
-1,-1,0.1,715.1866
0,-1,0.1,-48.0495
1,-1,0.1,-811.2855
2,-1,0.1,-992.3648
-2,-1,0.2,894.7081
-1,-1,0.2,713.2395
0,-1,0.2,-49.7245
1,-1,0.2,-812.6885
2,-1,0.2,-994.1573
-2,-1,0.5,884.2657
-1,-1,0.5,698.7458
0,-1,0.5,-62.3665
1,-1,0.5,-823.4789
2,-1,0.5,-1008.9988
-2,-1,0.75,833.485
-1,-1,0.75,648.2493
0,-1,0.75,-84.2109
1,-1,0.75,-816.671
2,-1,0.75,-1001.9066
-2,-1,1,811.7176
-1,-1,1,623.1862
0,-1,1,-117.6971
1,-1,1,-858.5804
2,-1,1,-1047.1118
-2,0,0.01,-1035.2262
-1,0,0.01,-1061.9973
0,0,0.01,-1092.0031
1,0,0.01,-1118.8586
2,0,0.01,-1139.2898
-2,0,0.1,-1036.5397
-1,0,0.1,-1063.2964
0,0,0.1,-1093.1881
1,0,0.1,-1119.8451
2,0,0.1,-1140.087
-2,0,0.2,-1040.2755
-1,0,0.2,-1066.9971
0,0,0.2,-1096.5062
1,0,0.2,-1122.5419
2,0,0.2,-1142.3572
-2,0,0.5,-1074.215
-1,0,0.5,-1100.4053
0,0,0.5,-1127.4993
1,0,0.5,-1149.5446
2,0,0.5,-1165.6752
-2,0,0.75,-1090.1892
-1,0,0.75,-1110.7786
0,0,0.75,-1131.918
1,0,0.75,-1148.1711
2,0,0.75,-1158.3579
-2,0,1,-1138.0894
-1,0,1,-1155.0131
0,0,1,-1172.215
1,0,1,-1184.9863
2,0,1,-1193.0377
-2,1,0.01,896.8522
-1,1,0.01,715.9179
0,1,0.01,-47.5043
1,1,0.01,-810.9266
2,1,0.01,-991.8607
-2,1,0.1,896.2656
-1,1,0.1,715.1865
0,1,0.1,-48.0495
1,1,0.1,-811.2855
2,1,0.1,-992.3648
-2,1,0.2,894.7081
-1,1,0.2,713.2394
0,1,0.2,-49.7245
1,1,0.2,-812.6884
2,1,0.2,-994.1573
-2,1,0.5,884.2657
-1,1,0.5,698.7459
0,1,0.5,-62.3666
1,1,0.5,-823.4789
2,1,0.5,-1008.9987
-2,1,0.75,833.485
-1,1,0.75,648.2492
0,1,0.75,-84.2109
1,1,0.75,-816.671
2,1,0.75,-1001.9066
-2,1,1,811.7176
-1,1,1,623.1861
0,1,1,-117.6972
1,1,1,-858.5805
2,1,1,-1047.1119
-2,2,0.01,712.6328
-1,2,0.01,465.9919
0,2,0.01,-47.2743
1,2,0.01,-560.5406
2,2,0.01,-807.1813
-2,2,0.1,711.6818
-1,2,0.1,465.0535
0,2,0.1,-47.816
1,2,0.1,-560.6854
2,2,0.1,-807.3136
-2,2,0.2,709.1189
-1,2,0.2,462.5498
0,2,0.2,-49.4817
1,2,0.2,-561.5132
2,2,0.2,-808.0823
-2,2,0.5,688.4421
-1,2,0.5,442.2395
0,2,0.5,-62.058
1,2,0.5,-566.3555
2,2,0.5,-812.5578
-2,2,0.75,632.5905
-1,2,0.75,391.2649
0,2,0.75,-83.7896
1,2,0.75,-558.8439
2,2,0.75,-800.1694
-2,2,1,609.8962
-1,2,1,360.3726
0,2,1,-117.3034
1,2,1,-594.9795
2,2,1,-844.5031
