alpha [deg],beta [deg],mach [-],CN0 [-]
-2,-2,0.01,-0.6025
-1,-2,0.01,-0.2986
0,-2,0.01,0.0
1,-2,0.01,0.2986
2,-2,0.01,0.6025
-2,-2,0.1,-0.6031
-1,-2,0.1,-0.2989
0,-2,0.1,0.0
1,-2,0.1,0.2989
2,-2,0.1,0.6031
-2,-2,0.2,-0.6046
-1,-2,0.2,-0.2997
0,-2,0.2,0.0
1,-2,0.2,0.2997
2,-2,0.2,0.6046
-2,-2,0.5,-0.6196
-1,-2,0.5,-0.3072
0,-2,0.5,-0.0
1,-2,0.5,0.3072
2,-2,0.5,0.6196
-2,-2,0.75,-0.6305
-1,-2,0.75,-0.3128
0,-2,0.75,0.0
1,-2,0.75,0.3128
2,-2,0.75,0.6305
-2,-2,1,-0.6841
-1,-2,1,-0.3394
0,-2,1,0.0
1,-2,1,0.3394
2,-2,1,0.6841
-2,-1,0.01,-0.5846
-1,-1,0.01,-0.2871
0,-1,0.01,0.0
1,-1,0.01,0.2871
2,-1,0.01,0.5846
-2,-1,0.1,-0.5852
-1,-1,0.1,-0.2874
0,-1,0.1,0.0
1,-1,0.1,0.2874
2,-1,0.1,0.5852
-2,-1,0.2,-0.5867
-1,-1,0.2,-0.2882
0,-1,0.2,0.0
1,-1,0.2,0.2882
2,-1,0.2,0.5867
-2,-1,0.5,-0.602
-1,-1,0.5,-0.2958
0,-1,0.5,0.0
1,-1,0.5,0.2958
2,-1,0.5,0.602
-2,-1,0.75,-0.6154
-1,-1,0.75,-0.303
0,-1,0.75,0.0
1,-1,0.75,0.303
2,-1,0.75,0.6154
-2,-1,1,-0.6695
-1,-1,1,-0.3299
0,-1,1,0.0
1,-1,1,0.3299
2,-1,1,0.6695
-2,0,0.01,-0.5773
-1,0,0.01,-0.2826
0,0,0.01,0.0
1,0,0.01,0.2826
2,0,0.01,0.5773
-2,0,0.1,-0.5779
-1,0,0.1,-0.2829
0,0,0.1,0.0
1,0,0.1,0.2829
2,0,0.1,0.5779
-2,0,0.2,-0.5795
-1,0,0.2,-0.2836
0,0,0.2,0.0
1,0,0.2,0.2836
2,0,0.2,0.5795
-2,0,0.5,-0.5949
-1,0,0.5,-0.2914
0,0,0.5,0.0
1,0,0.5,0.2914
2,0,0.5,0.5949
-2,0,0.75,-0.6092
-1,0,0.75,-0.2991
0,0,0.75,0.0
1,0,0.75,0.2991
2,0,0.75,0.6092
-2,0,1,-0.6636
-1,0,1,-0.326
0,0,1,0.0
1,0,1,0.326
2,0,1,0.6636
-2,1,0.01,-0.5846
-1,1,0.01,-0.2871
0,1,0.01,0.0
1,1,0.01,0.2871
2,1,0.01,0.5846
-2,1,0.1,-0.5852
-1,1,0.1,-0.2874
0,1,0.1,0.0
1,1,0.1,0.2874
2,1,0.1,0.5852
-2,1,0.2,-0.5867
-1,1,0.2,-0.2882
0,1,0.2,0.0
1,1,0.2,0.2882
2,1,0.2,0.5867
-2,1,0.5,-0.602
-1,1,0.5,-0.2958
0,1,0.5,0.0
1,1,0.5,0.2958
2,1,0.5,0.602
-2,1,0.75,-0.6154
-1,1,0.75,-0.303
0,1,0.75,0.0
1,1,0.75,0.303
2,1,0.75,0.6154
-2,1,1,-0.6695
-1,1,1,-0.3299
0,1,1,0.0
1,1,1,0.3299
2,1,1,0.6695
-2,2,0.01,-0.6025
-1,2,0.01,-0.2986
0,2,0.01,0.0
1,2,0.01,0.2986
2,2,0.01,0.6025
-2,2,0.1,-0.6031
-1,2,0.1,-0.2989
0,2,0.1,0.0
1,2,0.1,0.2989
2,2,0.1,0.6031
-2,2,0.2,-0.6046
-1,2,0.2,-0.2997
0,2,0.2,0.0
1,2,0.2,0.2997
2,2,0.2,0.6046
-2,2,0.5,-0.6196
-1,2,0.5,-0.3072
0,2,0.5,0.0
1,2,0.5,0.3072
2,2,0.5,0.6196
-2,2,0.75,-0.6305
-1,2,0.75,-0.3128
0,2,0.75,0.0
1,2,0.75,0.3128
2,2,0.75,0.6305
-2,2,1,-0.6841
-1,2,1,-0.3394
0,2,1,0.0
1,2,1,0.3394
2,2,1,0.6841
