alpha [deg],beta [deg],mach [-],CNq [1/rad]
-2,-2,0.01,-114.2553
-1,-2,0.01,-70.2275
0,-2,0.01,21.394
1,-2,0.01,113.0156
2,-2,0.01,157.0433
-2,-2,0.1,-114.1791
-1,-2,0.1,-70.1517
0,-2,0.1,21.4028
1,-2,0.1,112.9574
2,-2,0.1,156.9847
-2,-2,0.2,-114.027
-1,-2,0.2,-70.0044
0,-2,0.2,21.4126
1,-2,0.2,112.8296
2,-2,0.2,156.8521
-2,-2,0.5,-112.703
-1,-2,0.5,-68.6962
0,-2,0.5,21.4419
1,-2,0.5,111.5799
2,-2,0.5,155.5867
-2,-2,0.75,-106.9152
-1,-2,0.75,-63.6674
0,-2,0.75,21.4663
1,-2,0.75,106.6
2,-2,0.75,149.8478
-2,-2,1,-108.7882
-1,-2,1,-63.2521
0,-2,1,23.9237
1,-2,1,111.0995
2,-2,1,156.6356
-2,-1,0.01,-148.2724
-1,-1,0.01,-115.9736
0,-1,0.01,20.3016
1,-1,0.01,156.5768
2,-1,0.01,188.8756
-2,-1,0.1,-148.2687
-1,-1,0.1,-115.9426
0,-1,0.1,20.3051
1,-1,0.1,156.5528
2,-1,0.1,188.8789
-2,-1,0.2,-148.3078
-1,-1,0.2,-115.908
0,-1,0.2,20.309
1,-1,0.2,156.526
2,-1,0.2,188.9259
-2,-1,0.5,-148.8802
-1,-1,0.5,-115.7197
0,-1,0.5,20.3207
1,-1,0.5,156.3612
2,-1,0.5,189.5217
-2,-1,0.75,-144.1282
-1,-1,0.75,-110.9321
0,-1,0.75,20.3305
1,-1,0.75,151.5932
2,-1,0.75,184.7892
-2,-1,1,-147.0506
-1,-1,1,-112.6459
0,-1,1,22.5673
1,-1,1,157.7806
2,-1,1,192.1853
-2,0,0.01,196.0392
-1,0,0.01,200.8167
0,0,0.01,206.1721
1,0,0.01,210.9667
2,0,0.01,214.6152
-2,0,0.1,196.1852
-1,0,0.1,200.9603
0,0,0.1,206.2957
1,0,0.1,211.055
2,0,0.1,214.6698
-2,0,0.2,196.5773
-1,0,0.2,201.3469
0,0,0.2,206.6147
1,0,0.2,211.2637
2,0,0.2,214.8027
-2,0,0.5,200.5837
-1,0,0.5,205.2639
0,0,0.5,210.1061
1,0,0.5,214.047
2,0,0.5,216.9313
-2,0,0.75,199.9996
-1,0,0.75,203.6889
0,0,0.75,207.4769
1,0,0.75,210.3899
2,0,0.75,212.216
-2,0,1,208.0737
-1,0,1,211.1658
0,0,1,214.3071
1,0,1,216.636
2,0,1,218.1018
-2,1,0.01,-148.2724
-1,1,0.01,-115.9736
0,1,0.01,20.3016
1,1,0.01,156.5768
2,1,0.01,188.8756
-2,1,0.1,-148.2687
-1,1,0.1,-115.9426
0,1,0.1,20.3051
1,1,0.1,156.5528
2,1,0.1,188.8789
-2,1,0.2,-148.3078
-1,1,0.2,-115.908
0,1,0.2,20.309
1,1,0.2,156.526
2,1,0.2,188.9259
-2,1,0.5,-148.8802
-1,1,0.5,-115.7197
0,1,0.5,20.3208
1,1,0.5,156.3612
2,1,0.5,189.5216
-2,1,0.75,-144.1282
-1,1,0.75,-110.9321
0,1,0.75,20.3305
1,1,0.75,151.5931
2,1,0.75,184.7892
-2,1,1,-147.0506
-1,1,1,-112.6459
0,1,1,22.5673
1,1,1,157.7806
2,1,1,192.1853
-2,2,0.01,-114.2552
-1,2,0.01,-70.2275
0,2,0.01,21.394
1,2,0.01,113.0156
2,2,0.01,157.0433
-2,2,0.1,-114.1791
-1,2,0.1,-70.1517
0,2,0.1,21.4028
1,2,0.1,112.9574
2,2,0.1,156.9847
-2,2,0.2,-114.027
-1,2,0.2,-70.0044
0,2,0.2,21.4126
1,2,0.2,112.8296
2,2,0.2,156.8521
-2,2,0.5,-112.703
-1,2,0.5,-68.6962
0,2,0.5,21.4419
1,2,0.5,111.58
2,2,0.5,155.5867
-2,2,0.75,-106.9152
-1,2,0.75,-63.6674
0,2,0.75,21.4663
1,2,0.75,106.6
2,2,0.75,149.8478
-2,2,1,-108.7882
-1,2,1,-63.252
0,2,1,23.9237
1,2,1,111.0995
2,2,1,156.6356
