alpha [deg],beta [deg],mach [-],CY0 [-]
-2,-2,0.01,0.6025
-1,-2,0.01,0.5846
0,-2,0.01,0.5773
1,-2,0.01,0.5846
2,-2,0.01,0.6025
-2,-2,0.1,0.6031
-1,-2,0.1,0.5852
0,-2,0.1,0.5779
1,-2,0.1,0.5852
2,-2,0.1,0.6031
-2,-2,0.2,0.6046
-1,-2,0.2,0.5867
0,-2,0.2,0.5795
1,-2,0.2,0.5867
2,-2,0.2,0.6046
-2,-2,0.5,0.6196
-1,-2,0.5,0.602
0,-2,0.5,0.5949
1,-2,0.5,0.602
2,-2,0.5,0.6196
-2,-2,0.75,0.6305
-1,-2,0.75,0.6154
0,-2,0.75,0.6092
1,-2,0.75,0.6154
2,-2,0.75,0.6305
-2,-2,1,0.6841
-1,-2,1,0.6695
0,-2,1,0.6636
1,-2,1,0.6695
2,-2,1,0.6841
-2,-1,0.01,0.2986
-1,-1,0.01,0.2871
0,-1,0.01,0.2826
1,-1,0.01,0.2871
2,-1,0.01,0.2986
-2,-1,0.1,0.2989
-1,-1,0.1,0.2874
0,-1,0.1,0.2829
1,-1,0.1,0.2874
2,-1,0.1,0.2989
-2,-1,0.2,0.2997
-1,-1,0.2,0.2882
0,-1,0.2,0.2836
1,-1,0.2,0.2882
2,-1,0.2,0.2997
-2,-1,0.5,0.3072
-1,-1,0.5,0.2958
0,-1,0.5,0.2914
1,-1,0.5,0.2958
2,-1,0.5,0.3072
-2,-1,0.75,0.3128
-1,-1,0.75,0.303
0,-1,0.75,0.2991
1,-1,0.75,0.303
2,-1,0.75,0.3128
-2,-1,1,0.3394
-1,-1,1,0.3299
0,-1,1,0.326
1,-1,1,0.3299
2,-1,1,0.3394
-2,0,0.01,0.0
-1,0,0.01,0.0
0,0,0.01,0.0
1,0,0.01,-0.0
2,0,0.01,0.0
-2,0,0.1,0.0
-1,0,0.1,0.0
0,0,0.1,0.0
1,0,0.1,-0.0
2,0,0.1,0.0
-2,0,0.2,0.0
-1,0,0.2,0.0
0,0,0.2,0.0
1,0,0.2,-0.0
2,0,0.2,0.0
-2,0,0.5,0.0
-1,0,0.5,0.0
0,0,0.5,0.0
1,0,0.5,-0.0
2,0,0.5,-0.0
-2,0,0.75,0.0
-1,0,0.75,0.0
0,0,0.75,0.0
1,0,0.75,-0.0
2,0,0.75,0.0
-2,0,1,0.0
-1,0,1,0.0
0,0,1,0.0
1,0,1,-0.0
2,0,1,-0.0
-2,1,0.01,-0.2986
-1,1,0.01,-0.2871
0,1,0.01,-0.2826
1,1,0.01,-0.2871
2,1,0.01,-0.2986
-2,1,0.1,-0.2989
-1,1,0.1,-0.2874
0,1,0.1,-0.2829
1,1,0.1,-0.2874
2,1,0.1,-0.2989
-2,1,0.2,-0.2997
-1,1,0.2,-0.2882
0,1,0.2,-0.2836
1,1,0.2,-0.2882
2,1,0.2,-0.2997
-2,1,0.5,-0.3072
-1,1,0.5,-0.2958
0,1,0.5,-0.2914
1,1,0.5,-0.2958
2,1,0.5,-0.3072
-2,1,0.75,-0.3128
-1,1,0.75,-0.303
0,1,0.75,-0.2991
1,1,0.75,-0.303
2,1,0.75,-0.3128
-2,1,1,-0.3394
-1,1,1,-0.3299
0,1,1,-0.326
1,1,1,-0.3299
2,1,1,-0.3394
-2,2,0.01,-0.6025
-1,2,0.01,-0.5846
0,2,0.01,-0.5773
1,2,0.01,-0.5846
2,2,0.01,-0.6025
-2,2,0.1,-0.6031
-1,2,0.1,-0.5852
0,2,0.1,-0.5779
1,2,0.1,-0.5852
2,2,0.1,-0.6031
-2,2,0.2,-0.6046
-1,2,0.2,-0.5867
0,2,0.2,-0.5795
1,2,0.2,-0.5867
2,2,0.2,-0.6046
-2,2,0.5,-0.6196
-1,2,0.5,-0.602
0,2,0.5,-0.5949
1,2,0.5,-0.602
2,2,0.5,-0.6196
-2,2,0.75,-0.6305
-1,2,0.75,-0.6154
0,2,0.75,-0.6092
1,2,0.75,-0.6154
2,2,0.75,-0.6305
-2,2,1,-0.6841
-1,2,1,-0.6695
0,2,1,-0.6636
1,2,1,-0.6695
2,2,1,-0.6841
