alpha [deg],beta [deg],mach [-],CYp [1/rad]
-2,-2,0.01,0.6125
-1,-2,0.01,1.0686
0,-2,0.01,1.2773
1,-2,0.01,1.0673
2,-2,0.01,0.6125
-2,-2,0.1,0.6143
-1,-2,0.1,1.0713
0,-2,0.1,1.2803
1,-2,0.1,1.07
2,-2,0.1,0.6143
-2,-2,0.2,0.6153
-1,-2,0.2,1.0726
0,-2,0.2,1.2817
1,-2,0.2,1.0713
2,-2,0.2,0.6152
-2,-2,0.5,0.6064
-1,-2,0.5,1.0588
0,-2,0.5,1.2658
1,-2,0.5,1.0575
2,-2,0.5,0.6064
-2,-2,0.75,0.4935
-1,-2,0.75,0.8807
0,-2,0.75,1.0574
1,-2,0.75,0.8796
2,-2,0.75,0.4935
-2,-2,1,0.4212
-1,-2,1,0.7784
0,-2,1,0.942
1,-2,1,0.7775
2,-2,1,0.4212
-2,-1,0.01,0.2938
-1,-1,0.01,0.6389
0,-1,0.01,0.7741
1,-1,0.01,0.6389
2,-1,0.01,0.298
-2,-1,0.1,0.2946
-1,-1,0.1,0.6404
0,-1,0.1,0.7761
1,-1,0.1,0.6404
2,-1,0.1,0.2988
-2,-1,0.2,0.2949
-1,-1,0.2,0.6411
0,-1,0.2,0.7771
1,-1,0.2,0.6411
2,-1,0.2,0.2991
-2,-1,0.5,0.2895
-1,-1,0.5,0.6331
0,-1,0.5,0.7687
1,-1,0.5,0.6331
2,-1,0.5,0.2936
-2,-1,0.75,0.2351
-1,-1,0.75,0.5289
0,-1,0.75,0.6451
1,-1,0.75,0.5289
2,-1,0.75,0.2385
-2,-1,1,0.2
-1,-1,1,0.4711
0,-1,1,0.5781
1,-1,1,0.4711
2,-1,1,0.2031
-2,0,0.01,-0.0031
-1,0,0.01,-0.0005
0,0,0.01,0.0
1,0,0.01,0.0005
2,0,0.01,0.0031
-2,0,0.1,-0.0031
-1,0,0.1,-0.0005
0,0,0.1,0.0
1,0,0.1,0.0005
2,0,0.1,0.0031
-2,0,0.2,-0.0031
-1,0,0.2,-0.0005
0,0,0.2,0.0
1,0,0.2,0.0005
2,0,0.2,0.0031
-2,0,0.5,-0.0031
-1,0,0.5,-0.0005
0,0,0.5,0.0
1,0,0.5,0.0005
2,0,0.5,0.0031
-2,0,0.75,-0.0025
-1,0,0.75,-0.0004
0,0,0.75,0.0
1,0,0.75,0.0004
2,0,0.75,0.0025
-2,0,1,-0.0023
-1,0,1,-0.0004
0,0,1,0.0
1,0,1,0.0004
2,0,1,0.0023
-2,1,0.01,-0.298
-1,1,0.01,-0.6389
0,1,0.01,-0.7741
1,1,0.01,-0.6389
2,1,0.01,-0.2938
-2,1,0.1,-0.2989
-1,1,0.1,-0.6404
0,1,0.1,-0.7761
1,1,0.1,-0.6404
2,1,0.1,-0.2946
-2,1,0.2,-0.2991
-1,1,0.2,-0.6411
0,1,0.2,-0.7772
1,1,0.2,-0.6411
2,1,0.2,-0.2949
-2,1,0.5,-0.2936
-1,1,0.5,-0.6331
0,1,0.5,-0.7687
1,1,0.5,-0.6331
2,1,0.5,-0.2895
-2,1,0.75,-0.2385
-1,1,0.75,-0.5289
0,1,0.75,-0.6451
1,1,0.75,-0.5289
2,1,0.75,-0.2351
-2,1,1,-0.2031
-1,1,1,-0.4711
0,1,1,-0.5781
1,1,1,-0.4711
2,1,1,-0.2
-2,2,0.01,-0.6125
-1,2,0.01,-1.0673
0,2,0.01,-1.2773
1,2,0.01,-1.0686
2,2,0.01,-0.6125
-2,2,0.1,-0.6143
-1,2,0.1,-1.07
0,2,0.1,-1.2803
1,2,0.1,-1.0713
2,2,0.1,-0.6143
-2,2,0.2,-0.6153
-1,2,0.2,-1.0713
0,2,0.2,-1.2817
1,2,0.2,-1.0726
2,2,0.2,-0.6153
-2,2,0.5,-0.6064
-1,2,0.5,-1.0575
0,2,0.5,-1.2658
1,2,0.5,-1.0588
2,2,0.5,-0.6064
-2,2,0.75,-0.4935
-1,2,0.75,-0.8796
0,2,0.75,-1.0574
1,2,0.75,-0.8807
2,2,0.75,-0.4935
-2,2,1,-0.4212
-1,2,1,-0.7775
0,2,1,-0.942
1,2,1,-0.7784
2,2,1,-0.4212
