alpha [deg],beta [deg],mach [-],CYr [1/rad]
-2,-2,0.01,-112.9999
-1,-2,0.01,-63.763
0,-2,0.01,30.0696
1,-2,0.01,114.4997
2,-2,0.01,154.5631
-2,-2,0.1,-113.0083
-1,-2,0.1,-63.7643
0,-2,0.1,30.0292
1,-2,0.1,114.4742
2,-2,0.1,154.582
-2,-2,0.2,-113.0955
-1,-2,0.2,-63.8128
0,-2,0.2,29.9054
1,-2,0.2,114.4508
2,-2,0.2,154.681
-2,-2,0.5,-114.0562
-1,-2,0.5,-64.4647
0,-2,0.5,28.9842
1,-2,0.5,114.202
2,-2,0.5,155.6769
-2,-2,0.75,-110.4494
-1,-2,0.75,-62.306
0,-2,0.75,26.9333
1,-2,0.75,109.627
2,-2,0.75,152.0995
-2,-2,1,-111.7597
-1,-2,1,-62.0953
0,-2,1,28.1694
1,-2,1,113.3208
2,-2,1,158.0703
-2,-1,0.01,-143.7911
-1,-1,0.01,-114.5789
0,-1,0.01,24.8225
1,-1,0.01,154.0738
2,-1,0.01,186.7474
-2,-1,0.1,-143.8318
-1,-1,0.1,-114.5895
0,-1,0.1,24.7966
1,-1,0.1,154.0879
2,-1,0.1,186.8159
-2,-1,0.2,-144.001
-1,-1,0.2,-114.6764
0,-1,0.2,24.7095
1,-1,0.2,154.1787
2,-1,0.2,187.0324
-2,-1,0.5,-145.7809
-1,-1,0.5,-115.6132
0,-1,0.5,24.1486
1,-1,0.5,155.1273
2,-1,0.5,189.3883
-2,-1,0.75,-142.7498
-1,-1,0.75,-111.9737
0,-1,0.75,23.1124
1,-1,0.75,151.4976
2,-1,0.75,186.4093
-2,-1,1,-145.9327
-1,-1,1,-113.5576
0,-1,1,24.6265
1,-1,1,157.3403
2,-1,1,193.0793
-2,0,0.01,205.3271
-1,0,0.01,205.8917
0,0,0.01,206.1721
1,0,0.01,205.8917
2,0,0.01,205.3271
-2,0,0.1,205.4275
-1,0,0.1,206.0077
0,0,0.1,206.2957
1,0,0.1,206.0077
2,0,0.1,205.4275
-2,0,0.2,205.69
-1,0,0.2,206.3053
0,0,0.2,206.6147
1,0,0.2,206.3053
2,0,0.2,205.69
-2,0,0.5,208.7575
-1,0,0.5,209.6554
0,0,0.5,210.1061
1,0,0.5,209.6554
2,0,0.5,208.7575
-2,0,0.75,206.1078
-1,0,0.75,207.0394
0,0,0.75,207.4769
1,0,0.75,207.0394
2,0,0.75,206.1078
-2,0,1,213.0878
-1,0,1,213.9009
0,0,1,214.3071
1,0,1,213.9009
2,0,1,213.0878
-2,1,0.01,-143.9468
-1,1,0.01,-111.2732
0,1,0.01,17.9782
1,1,0.01,157.3795
2,1,0.01,186.5917
-2,1,0.1,-143.9977
-1,1,0.1,-111.2697
0,1,0.1,18.0216
1,1,0.1,157.4077
2,1,0.1,186.65
-2,1,0.2,-144.1947
-1,1,0.2,-111.341
0,1,0.2,18.1282
1,1,0.2,157.514
2,1,0.2,186.8387
-2,1,0.5,-146.492
-1,1,0.5,-112.231
0,1,0.5,18.7477
1,1,0.5,158.5095
2,1,0.5,188.6771
-2,1,0.75,-143.4642
-1,1,0.75,-108.5524
0,1,0.75,19.8327
1,1,0.75,154.9188
2,1,0.75,185.6949
-2,1,1,-145.2179
-1,1,1,-109.4789
0,1,1,23.235
1,1,1,161.4191
2,1,1,193.7941
-2,2,0.01,-107.0546
-1,2,0.01,-66.9911
0,2,0.01,17.439
1,2,0.01,111.2715
2,2,0.01,160.5085
-2,2,0.1,-107.0244
-1,2,0.1,-66.9165
0,2,0.1,17.5285
1,2,0.1,111.3219
2,2,0.1,160.5659
-2,2,0.2,-107.0688
-1,2,0.2,-66.8386
0,2,0.2,17.7068
1,2,0.2,111.425
2,2,0.2,160.7078
-2,2,0.5,-107.9009
-1,2,0.5,-66.426
0,2,0.5,18.7918
1,2,0.5,112.2406
2,2,0.5,161.8322
-2,2,0.75,-104.1871
-1,2,0.75,-61.7145
0,2,0.75,20.9792
1,2,0.75,110.2185
2,2,0.75,158.3618
-2,2,1,-104.2482
-1,2,1,-59.4987
0,2,1,25.6527
1,2,1,115.9174
2,2,1,165.5818
