alpha,beta,mach,Cmq [1/rad]
-0.03490658503988659,-0.03490658503988659,0.01,712.6328
-0.03490658503988659,-0.017453292519943295,0.01,896.8523
-0.03490658503988659,0.0,0.01,-1035.2262
-0.03490658503988659,0.017453292519943295,0.01,896.8522
-0.03490658503988659,0.03490658503988659,0.01,712.6328
-0.017453292519943295,-0.03490658503988659,0.01,465.9919
-0.017453292519943295,-0.017453292519943295,0.01,715.9181
-0.017453292519943295,0.0,0.01,-1061.9973
-0.017453292519943295,0.017453292519943295,0.01,715.9179
-0.017453292519943295,0.03490658503988659,0.01,465.9919
0.0,-0.03490658503988659,0.01,-47.2742
0.0,-0.017453292519943295,0.01,-47.5043
0.0,0.0,0.01,-1092.0031
0.0,0.017453292519943295,0.01,-47.5043
0.0,0.03490658503988659,0.01,-47.2743
0.017453292519943295,-0.03490658503988659,0.01,-560.5405
0.017453292519943295,-0.017453292519943295,0.01,-810.9266
0.017453292519943295,0.0,0.01,-1118.8586
0.017453292519943295,0.017453292519943295,0.01,-810.9266
0.017453292519943295,0.03490658503988659,0.01,-560.5406
0.03490658503988659,-0.03490658503988659,0.01,-807.1815
0.03490658503988659,-0.017453292519943295,0.01,-991.8607
0.03490658503988659,0.0,0.01,-1139.2898
0.03490658503988659,0.017453292519943295,0.01,-991.8607
0.03490658503988659,0.03490658503988659,0.01,-807.1813
-0.03490658503988659,-0.03490658503988659,0.1,711.6819
-0.03490658503988659,-0.017453292519943295,0.1,896.2658
-0.03490658503988659,0.0,0.1,-1036.5397
-0.03490658503988659,0.017453292519943295,0.1,896.2656
-0.03490658503988659,0.03490658503988659,0.1,711.6818
-0.017453292519943295,-0.03490658503988659,0.1,465.0536
-0.017453292519943295,-0.017453292519943295,0.1,715.1866
-0.017453292519943295,0.0,0.1,-1063.2964
-0.017453292519943295,0.017453292519943295,0.1,715.1865
-0.017453292519943295,0.03490658503988659,0.1,465.0535
0.0,-0.03490658503988659,0.1,-47.8158
0.0,-0.017453292519943295,0.1,-48.0495
0.0,0.0,0.1,-1093.1881
0.0,0.017453292519943295,0.1,-48.0495
0.0,0.03490658503988659,0.1,-47.816
0.017453292519943295,-0.03490658503988659,0.1,-560.6854
0.017453292519943295,-0.017453292519943295,0.1,-811.2855
0.017453292519943295,0.0,0.1,-1119.8451
0.017453292519943295,0.017453292519943295,0.1,-811.2855
0.017453292519943295,0.03490658503988659,0.1,-560.6854
0.03490658503988659,-0.03490658503988659,0.1,-807.3137
0.03490658503988659,-0.017453292519943295,0.1,-992.3648
0.03490658503988659,0.0,0.1,-1140.087
