alpha,beta,mach,CL0 [-]
-0.03490658503988659,-0.03490658503988659,0.01,-0.5838646534544782
-0.03490658503988659,-0.026179938779914945,0.01,-0.5739706842669892
-0.03490658503988659,-0.017453292519943295,0.01,-0.566072006783868
-0.03490658503988659,-0.008726646259971648,0.01,-0.5607752354006669
-0.03490658503988659,0.0,0.01,-0.5588763928293305
-0.03490658503988659,0.008726646259971648,0.01,-0.5607752354006669
-0.03490658503988659,0.017453292519943295,0.01,-0.566072006783868
-0.03490658503988659,0.026179938779914945,0.01,-0.5739706842669892
-0.03490658503988659,0.03490658503988659,0.01,-0.5838646534544782
-0.026179938779914945,-0.03490658503988659,0.01,-0.43591909571679166
-0.026179938779914945,-0.026179938779914945,0.01,-0.42741939075966867
-0.026179938779914945,-0.017453292519943295,0.01,-0.4205217552173373
-0.026179938779914945,-0.008726646259971648,0.01,-0.4160232972549473
-0.026179938779914945,0.0,0.01,-0.4144238455349864
-0.026179938779914945,0.008726646259971648,0.01,-0.4160232972549473
-0.026179938779914945,0.017453292519943295,0.01,-0.4205217552173373
-0.026179938779914945,0.026179938779914945,0.01,-0.42741939075966867
-0.026179938779914945,0.03490658503988659,0.01,-0.43591909571679166
-0.017453292519943295,-0.03490658503988659,0.01,-0.28956797920021565
-0.017453292519943295,-0.026179938779914945,0.01,-0.2831689539512148
-0.017453292519943295,-0.017453292519943295,0.01,-0.27806798546527345
-0.017453292519943295,-0.008726646259971648,0.01,-0.27477023331190104
-0.017453292519943295,0.0,0.01,-0.2735704160777134
-0.017453292519943295,0.008726646259971648,0.01,-0.27477023331190104
-0.017453292519943295,0.017453292519943295,0.01,-0.27806798546527345
-0.017453292519943295,0.026179938779914945,0.01,-0.2831689539512148
-0.017453292519943295,0.03490658503988659,0.01,-0.28956797920021565
-0.008726646259971648,-0.03490658503988659,0.01,-0.14445098886683375
-0.008726646259971648,-0.026179938779914945,0.01,-0.14095112213610916
-0.008726646259971648,-0.017453292519943295,0.01,-0.1382512249438359
-0.008726646259971648,-0.008726646259971648,0.01,-0.13635129729001397
-0.008726646259971648,0.0,0.01,-0.13565132394386903
-0.008726646259971648,0.008726646259971648,0.01,-0.13635129729001397
-0.008726646259971648,0.017453292519943295,0.01,-0.1382512249438359
-0.008726646259971648,0.026179938779914945,0.01,-0.14095112213610916
-0.008726646259971648,0.03490658503988659,0.01,-0.14445098886683375
0.0,-0.03490658503988659,0.01,-0.0
0.0,-0.026179938779914945,0.01,-0.0
0.0,-0.017453292519943295,0.01,-0.0
0.0,-0.008726646259971648,0.01,-0.0
0.0,0.0,0.01,-0.0
0.0,0.008726646259971648,0.01,-0.0
0.0,0.017453292519943295,0.01,-0.0
0.0,0.026179938779914945,0.01,-0.0
0.0,0.03490658503988659,0.01,-0.0
0.008726646259971648,-0.03490658503988659,0.01,0.14445098886683375
0.008726646259971648,-0.026179938779914945,0.01,0.14095112213610916
0.008726646259971648,-0.017453292519943295,0.01,0.1382512249438359
0.008726646259971648,-0.008726646259971648,0.01,0.13635129729001397
0.008726646259971648,0.0,0.01,0.13565132394386903
0.008726646259971648,0.008726646259971648,0.01,0.13635129729001397
0.008726646259971648,0.017453292519943295,0.01,0.1382512249438359
0.008726646259971648,0.026179938779914945,0.01,0.14095112213610916
0.008726646259971648,0.03490658503988659,0.01,0.14445098886683375
0.017453292519943295,-0.03490658503988659,0.01,0.28956797920021565
0.017453292519943295,-0.026179938779914945,0.01,0.2831689539512148
0.017453292519943295,-0.017453292519943295,0.01,0.27806798546527345
0.017453292519943295,-0.008726646259971648,0.01,0.27477023331190104
0.017453292519943295,0.0,0.01,0.2735704160777134
0.017453292519943295,0.008726646259971648,0.01,0.27477023331190104
0.017453292519943295,0.017453292519943295,0.01,0.27806798546527345
0.017453292519943295,0.026179938779914945,0.01,0.2831689539512148
0.017453292519943295,0.03490658503988659,0.01,0.28956797920021565
0.026179938779914945,-0.03490658503988659,0.01,0.43591909571679166
0.026179938779914945,-0.026179938779914945,0.01,0.42741939075966867
0.026179938779914945,-0.017453292519943295,0.01,0.4205217552173373
0.026179938779914945,-0.008726646259971648,0.01,0.4160232972549473
0.026179938779914945,0.0,0.01,0.4144238455349864
0.026179938779914945,0.008726646259971648,0.01,0.4160232972549473
0.026179938779914945,0.017453292519943295,0.01,0.4205217552173373
0.026179938779914945,0.026179938779914945,0.01,0.42741939075966867
