alpha,beta,mach,CQr [1/rad]
-0.03490658503988659,-0.03490658503988659,0.01,-112.91431554845974
-0.03490658503988659,-0.026179938779914945,0.01,-128.85221488473033
-0.03490658503988659,-0.017453292519943295,0.01,-143.61721360512175
-0.03490658503988659,-0.008726646259971648,0.01,-158.07247041450782
-0.03490658503988659,0.0,0.01,205.5363
-0.03490658503988659,0.008726646259971648,0.01,-159.84901373543696
-0.03490658503988659,0.017453292519943295,0.01,-143.86428772046472
-0.03490658503988659,0.026179938779914945,0.01,-124.66001673147761
-0.03490658503988659,0.03490658503988659,0.01,-106.65892848398184
-0.026179938779914945,-0.03490658503988659,0.01,-93.19246841198476
-0.026179938779914945,-0.026179938779914945,0.01,-113.56507151313163
-0.026179938779914945,-0.017453292519943295,0.01,-133.7248363712905
-0.026179938779914945,-0.008726646259971648,0.01,-154.13089020750172
-0.026179938779914945,0.0,0.01,205.8655
-0.026179938779914945,0.008726646259971648,0.01,-155.72417195225952
-0.026179938779914945,0.017453292519943295,0.01,-132.1382751387828
-0.026179938779914945,0.026179938779914945,0.01,-108.99073955977597
-0.026179938779914945,0.03490658503988659,0.01,-90.03723963640101
-0.017453292519943295,-0.03490658503988659,0.01,-63.64618322607232
-0.017453292519943295,-0.026179938779914945,0.01,-86.07405627552525
-0.017453292519943295,-0.017453292519943295,0.01,-114.39319494747899
-0.017453292519943295,-0.008726646259971648,0.01,-144.50252861836162
-0.017453292519943295,0.0,0.01,206.1009
-0.017453292519943295,0.008726646259971648,0.01,-144.82612309278088
-0.017453292519943295,0.017453292519943295,0.01,-111.1850836328002
-0.017453292519943295,0.026179938779914945,0.01,-85.88108033769895
-0.017453292519943295,0.03490658503988659,0.01,-66.55659964304665
-0.008726646259971648,-0.03490658503988659,0.01,-21.76636942761633
-0.008726646259971648,-0.026179938779914945,0.01,-39.44745531647909
-0.008726646259971648,-0.017453292519943295,0.01,-67.63161943099993
-0.008726646259971648,-0.008726646259971648,0.01,-115.10286260975388
-0.008726646259971648,0.0,0.01,206.2728
-0.008726646259971648,0.008726646259971648,0.01,-113.12183804397145
-0.008726646259971648,0.017453292519943295,0.01,-69.63036377201905
-0.008726646259971648,0.026179938779914945,0.01,-44.75141983706106
-0.008726646259971648,0.03490658503988659,0.01,-29.911957878289172
0.0,-0.03490658503988659,0.01,30.230972882831438
0.0,-0.026179938779914945,0.01,27.874344883885943
0.0,-0.017453292519943295,0.01,25.027787566076725
0.0,-0.008726646259971648,0.01,22.04136070056508
