alpha,beta,mach,Cl_r [1/rad]
-0.03490658503988659,-0.03490658503988659,0.01,0.0
-0.03490658503988659,-0.026179938779914945,0.01,0.082
-0.03490658503988659,-0.017453292519943295,0.01,0.2148
-0.03490658503988659,-0.008726646259971648,0.01,0.3904
-0.03490658503988659,0.0,0.01,-0.2671
-0.03490658503988659,0.008726646259971648,0.01,-0.1437
-0.03490658503988659,0.017453292519943295,0.01,-0.2587
-0.03490658503988659,0.026179938779914945,0.01,-0.1223
-0.03490658503988659,0.03490658503988659,0.01,0.0
-0.026179938779914945,-0.03490658503988659,0.01,-0.1223
-0.026179938779914945,-0.026179938779914945,0.01,0.0
-0.026179938779914945,-0.017453292519943295,0.01,0.1108
-0.026179938779914945,-0.008726646259971648,0.01,0.34
-0.026179938779914945,0.0,0.01,-0.1821
-0.026179938779914945,0.008726646259971648,0.01,-0.2459
-0.026179938779914945,0.017453292519943295,0.01,-0.1639
-0.026179938779914945,0.026179938779914945,0.01,0.0
-0.026179938779914945,0.03490658503988659,0.01,0.0821
-0.017453292519943295,-0.03490658503988659,0.01,-0.2587
-0.017453292519943295,-0.026179938779914945,0.01,-0.1639
-0.017453292519943295,-0.017453292519943295,0.01,0.0
-0.017453292519943295,-0.008726646259971648,0.01,0.2289
-0.017453292519943295,0.0,0.01,-0.1485
-0.017453292519943295,0.008726646259971648,0.01,-0.2615
-0.017453292519943295,0.017453292519943295,0.01,0.0
-0.017453292519943295,0.026179938779914945,0.01,0.1108
-0.017453292519943295,0.03490658503988659,0.01,0.2148
-0.008726646259971648,-0.03490658503988659,0.01,-0.1437
-0.008726646259971648,-0.026179938779914945,0.01,-0.2459
-0.008726646259971648,-0.017453292519943295,0.01,-0.2615
-0.008726646259971648,-0.008726646259971648,0.01,0.0
-0.008726646259971648,0.0,0.01,-0.1253
-0.008726646259971648,0.008726646259971648,0.01,0.0
-0.008726646259971648,0.017453292519943295,0.01,0.2289
-0.008726646259971648,0.026179938779914945,0.01,0.34
-0.008726646259971648,0.03490658503988659,0.01,0.3903
0.0,-0.03490658503988659,0.01,0.2671
0.0,-0.026179938779914945,0.01,0.1821
0.0,-0.017453292519943295,0.01,0.1486
0.0,-0.008726646259971648,0.01,0.1253
0.0,0.0,0.01,-0.0
0.0,0.008726646259971648,0.01,0.1252
0.0,0.017453292519943295,0.01,0.1486
