alpha,beta,mach,Cn0 [-]
-0.03490658503988659,-0.03490658503988659,0.01,-2.2831
-0.03490658503988659,-0.026179938779914945,0.01,-1.7103
-0.03490658503988659,-0.017453292519943295,0.01,-1.1393
-0.03490658503988659,-0.008726646259971648,0.01,-0.5693
-0.03490658503988659,0.0,0.01,-0.0
-0.03490658503988659,0.008726646259971648,0.01,0.5693
-0.03490658503988659,0.017453292519943295,0.01,1.1393
-0.03490658503988659,0.026179938779914945,0.01,1.7103
-0.03490658503988659,0.03490658503988659,0.01,2.2831
-0.026179938779914945,-0.03490658503988659,0.01,-2.2409
-0.026179938779914945,-0.026179938779914945,0.01,-1.6743
-0.026179938779914945,-0.017453292519943295,0.01,-1.1126
-0.026179938779914945,-0.008726646259971648,0.01,-0.5549
-0.026179938779914945,0.0,0.01,-0.0
-0.026179938779914945,0.008726646259971648,0.01,0.5549
-0.026179938779914945,0.017453292519943295,0.01,1.1126
-0.026179938779914945,0.026179938779914945,0.01,1.6743
-0.026179938779914945,0.03490658503988659,0.01,2.2409
-0.017453292519943295,-0.03490658503988659,0.01,-2.207
-0.017453292519943295,-0.026179938779914945,0.01,-1.6455
-0.017453292519943295,-0.017453292519943295,0.01,-1.0918
-0.017453292519943295,-0.008726646259971648,0.01,-0.5444
-0.017453292519943295,0.0,0.01,-0.0
-0.017453292519943295,0.008726646259971648,0.01,0.5444
-0.017453292519943295,0.017453292519943295,0.01,1.0918
-0.017453292519943295,0.026179938779914945,0.01,1.6455
-0.017453292519943295,0.03490658503988659,0.01,2.207
-0.008726646259971648,-0.03490658503988659,0.01,-2.1844
-0.008726646259971648,-0.026179938779914945,0.01,-1.6267
-0.008726646259971648,-0.017453292519943295,0.01,-1.0793
-0.008726646259971648,-0.008726646259971648,0.01,-0.5383
-0.008726646259971648,0.0,0.01,-0.0
-0.008726646259971648,0.008726646259971648,0.01,0.5383
-0.008726646259971648,0.017453292519943295,0.01,1.0793
-0.008726646259971648,0.026179938779914945,0.01,1.6267
-0.008726646259971648,0.03490658503988659,0.01,2.1844
0.0,-0.03490658503988659,0.01,-2.1762
0.0,-0.026179938779914945,0.01,-1.6203
0.0,-0.017453292519943295,0.01,-1.0752
0.0,-0.008726646259971648,0.01,-0.5365
0.0,0.0,0.01,-0.0
0.0,0.008726646259971648,0.01,0.5365
0.0,0.017453292519943295,0.01,1.0752
0.0,0.026179938779914945,0.01,1.6203
0.0,0.03490658503988659,0.01,2.1762
