alpha,beta,mach,Cnq [1/rad]
-0.03490658503988659,-0.03490658503988659,0.01,-759.9071
-0.03490658503988659,-0.026179938779914945,0.01,-666.9559
-0.03490658503988659,-0.017453292519943295,0.01,-513.2665
-0.03490658503988659,-0.008726646259971648,0.01,-285.9443
-0.03490658503988659,0.0,0.01,0.0
-0.03490658503988659,0.008726646259971648,0.01,285.9442
-0.03490658503988659,0.017453292519943295,0.01,513.2665
-0.03490658503988659,0.026179938779914945,0.01,666.9559
-0.03490658503988659,0.03490658503988659,0.01,759.9072
-0.026179938779914945,-0.03490658503988659,0.01,-843.8975
-0.026179938779914945,-0.026179938779914945,0.01,-763.2191
-0.026179938779914945,-0.017453292519943295,0.01,-624.8255
-0.026179938779914945,-0.008726646259971648,0.01,-370.8005
-0.026179938779914945,0.0,0.01,0.0
-0.026179938779914945,0.008726646259971648,0.01,370.8004
-0.026179938779914945,0.017453292519943295,0.01,624.8256
-0.026179938779914945,0.026179938779914945,0.01,763.219
-0.026179938779914945,0.03490658503988659,0.01,843.8973
-0.017453292519943295,-0.03490658503988659,0.01,-944.3563
-0.017453292519943295,-0.026179938779914945,0.01,-876.425
-0.017453292519943295,-0.017453292519943295,0.01,-763.4222
-0.017453292519943295,-0.008726646259971648,0.01,-513.6035
-0.017453292519943295,0.0,0.01,0.0001
-0.017453292519943295,0.008726646259971648,0.01,513.6033
-0.017453292519943295,0.017453292519943295,0.01,763.4222
-0.017453292519943295,0.026179938779914945,0.01,876.4253
-0.017453292519943295,0.03490658503988659,0.01,944.3566
-0.008726646259971648,-0.03490658503988659,0.01,-1040.3541
-0.008726646259971648,-0.026179938779914945,0.01,-1006.2499
-0.008726646259971648,-0.017453292519943295,0.01,-938.1296
-0.008726646259971648,-0.008726646259971648,0.01,-760.2912
-0.008726646259971648,0.0,0.01,0.0
-0.008726646259971648,0.008726646259971648,0.01,760.2913
-0.008726646259971648,0.017453292519943295,0.01,938.1296
-0.008726646259971648,0.026179938779914945,0.01,1006.25
-0.008726646259971648,0.03490658503988659,0.01,1040.3542
0.0,-0.03490658503988659,0.01,-1091.6567
0.0,-0.026179938779914945,0.01,-1082.5118
0.0,-0.017453292519943295,0.01,-1071.2256
0.0,-0.008726646259971648,0.01,-1058.3505
0.0,0.0,0.01,0.0001
0.0,0.008726646259971648,0.01,1058.3505
0.0,0.017453292519943295,0.01,1071.2256
0.0,0.026179938779914945,0.01,1082.5118
0.0,0.03490658503988659,0.01,1091.6567
0.008726646259971648,-0.03490658503988659,0.01,-1040.3541
