alpha,beta,mach,Cl_p [1/rad]
-0.03490658503988659,-0.03490658503988659,0.01,-29.1366
-0.03490658503988659,-0.026179938779914945,0.01,-28.8871
-0.03490658503988659,-0.017453292519943295,0.01,-28.7257
-0.03490658503988659,-0.008726646259971648,0.01,-28.6252
-0.03490658503988659,0.0,0.01,-28.591
-0.03490658503988659,0.008726646259971648,0.01,-28.6237
-0.03490658503988659,0.017453292519943295,0.01,-28.7237
-0.03490658503988659,0.026179938779914945,0.01,-28.8858
-0.03490658503988659,0.03490658503988659,0.01,-29.1366
-0.026179938779914945,-0.03490658503988659,0.01,-28.8858
-0.026179938779914945,-0.026179938779914945,0.01,-28.5533
-0.026179938779914945,-0.017453292519943295,0.01,-28.3178
-0.026179938779914945,-0.008726646259971648,0.01,-28.1809
-0.026179938779914945,0.0,0.01,-28.1321
-0.026179938779914945,0.008726646259971648,0.01,-28.1802
-0.026179938779914945,0.017453292519943295,0.01,-28.317
-0.026179938779914945,0.026179938779914945,0.01,-28.5533
-0.026179938779914945,0.03490658503988659,0.01,-28.8871
-0.017453292519943295,-0.03490658503988659,0.01,-28.7237
-0.017453292519943295,-0.026179938779914945,0.01,-28.317
-0.017453292519943295,-0.017453292519943295,0.01,-28.0081
-0.017453292519943295,-0.008726646259971648,0.01,-27.8233
-0.017453292519943295,0.0,0.01,-27.768
-0.017453292519943295,0.008726646259971648,0.01,-27.8231
-0.017453292519943295,0.017453292519943295,0.01,-28.0081
-0.017453292519943295,0.026179938779914945,0.01,-28.3178
-0.017453292519943295,0.03490658503988659,0.01,-28.7257
-0.008726646259971648,-0.03490658503988659,0.01,-28.6238
-0.008726646259971648,-0.026179938779914945,0.01,-28.1802
-0.008726646259971648,-0.017453292519943295,0.01,-27.8231
-0.008726646259971648,-0.008726646259971648,0.01,-27.5945
-0.008726646259971648,0.0,0.01,-27.5129
-0.008726646259971648,0.008726646259971648,0.01,-27.5945
-0.008726646259971648,0.017453292519943295,0.01,-27.8233
-0.008726646259971648,0.026179938779914945,0.01,-28.1809
-0.008726646259971648,0.03490658503988659,0.01,-28.6252
0.0,-0.03490658503988659,0.01,-28.591
0.0,-0.026179938779914945,0.01,-28.1321
0.0,-0.017453292519943295,0.01,-27.768
0.0,-0.008726646259971648,0.01,-27.5129
0.0,0.0,0.01,-27.4205
0.0,0.008726646259971648,0.01,-27.5129
0.0,0.017453292519943295,0.01,-27.768
0.0,0.026179938779914945,0.01,-28.1321
0.0,0.03490658503988659,0.01,-28.591
0.008726646259971648,-0.03490658503988659,0.01,-28.6252
0.008726646259971648,-0.026179938779914945,0.01,-28.1809
0.008726646259971648,-0.017453292519943295,0.01,-27.8233
0.008726646259971648,-0.008726646259971648,0.01,-27.5945
0.008726646259971648,0.0,0.01,-27.5129
0.008726646259971648,0.008726646259971648,0.01,-27.5945
0.008726646259971648,0.017453292519943295,0.01,-27.8231
0.008726646259971648,0.026179938779914945,0.01,-28.1802
0.008726646259971648,0.03490658503988659,0.01,-28.6237
0.017453292519943295,-0.03490658503988659,0.01,-28.7257
0.017453292519943295,-0.026179938779914945,0.01,-28.3178
0.017453292519943295,-0.017453292519943295,0.01,-28.0081
0.017453292519943295,-0.008726646259971648,0.01,-27.8231
0.017453292519943295,0.0,0.01,-27.768
0.017453292519943295,0.008726646259971648,0.01,-27.8233
0.017453292519943295,0.017453292519943295,0.01,-28.0081
0.017453292519943295,0.026179938779914945,0.01,-28.317
0.017453292519943295,0.03490658503988659,0.01,-28.7237
0.026179938779914945,-0.03490658503988659,0.01,-28.8871
0.026179938779914945,-0.026179938779914945,0.01,-28.5533
0.026179938779914945,-0.017453292519943295,0.01,-28.317
0.026179938779914945,-0.008726646259971648,0.01,-28.1802
0.026179938779914945,0.0,0.01,-28.1321
0.026179938779914945,0.008726646259971648,0.01,-28.1809
0.026179938779914945,0.017453292519943295,0.01,-28.3178
0.026179938779914945,0.026179938779914945,0.01,-28.5533
0.026179938779914945,0.03490658503988659,0.01,-28.8858
0.03490658503988659,-0.03490658503988659,0.01,-29.1366
0.03490658503988659,-0.026179938779914945,0.01,-28.8858
0.03490658503988659,-0.017453292519943295,0.01,-28.7237
0.03490658503988659,-0.008726646259971648,0.01,-28.6238
0.03490658503988659,0.0,0.01,-28.591
0.03490658503988659,0.008726646259971648,0.01,-28.6252
0.03490658503988659,0.017453292519943295,0.01,-28.7257
0.03490658503988659,0.026179938779914945,0.01,-28.8871
0.03490658503988659,0.03490658503988659,0.01,-29.1366
-0.03490658503988659,-0.03490658503988659,0.1,-29.3089
-0.03490658503988659,-0.026179938779914945,0.1,-29.0586
-0.03490658503988659,-0.017453292519943295,0.1,-28.8914
-0.03490658503988659,-0.008726646259971648,0.1,-28.7874
-0.03490658503988659,0.0,0.1,-28.7517
-0.03490658503988659,0.008726646259971648,0.1,-28.7859
-0.03490658503988659,0.017453292519943295,0.1,-28.8894
-0.03490658503988659,0.026179938779914945,0.1,-29.0572
-0.03490658503988659,0.03490658503988659,0.1,-29.3089
-0.026179938779914945,-0.03490658503988659,0.1,-29.0572
-0.026179938779914945,-0.026179938779914945,0.1,-28.7162
-0.026179938779914945,-0.017453292519943295,0.1,-28.4741
-0.026179938779914945,-0.008726646259971648,0.1,-28.3324
-0.026179938779914945,0.0,0.1,-28.2821
-0.026179938779914945,0.008726646259971648,0.1,-28.3317
-0.026179938779914945,0.017453292519943295,0.1,-28.4732
-0.026179938779914945,0.026179938779914945,0.1,-28.7162
-0.026179938779914945,0.03490658503988659,0.1,-29.0586
-0.017453292519943295,-0.03490658503988659,0.1,-28.8894
-0.017453292519943295,-0.026179938779914945,0.1,-28.4732
-0.017453292519943295,-0.017453292519943295,0.1,-28.1568
-0.017453292519943295,-0.008726646259971648,0.1,-27.9673
-0.017453292519943295,0.0,0.1,-27.9101
-0.017453292519943295,0.008726646259971648,0.1,-27.9671
-0.017453292519943295,0.017453292519943295,0.1,-28.1568
-0.017453292519943295,0.026179938779914945,0.1,-28.4741
-0.017453292519943295,0.03490658503988659,0.1,-28.8914
-0.008726646259971648,-0.03490658503988659,0.1,-28.7859
-0.008726646259971648,-0.026179938779914945,0.1,-28.3317
-0.008726646259971648,-0.017453292519943295,0.1,-27.9671
-0.008726646259971648,-0.008726646259971648,0.1,-27.7339
-0.008726646259971648,0.0,0.1,-27.6509
-0.008726646259971648,0.008726646259971648,0.1,-27.7339
-0.008726646259971648,0.017453292519943295,0.1,-27.9673
-0.008726646259971648,0.026179938779914945,0.1,-28.3324
-0.008726646259971648,0.03490658503988659,0.1,-28.7874
0.0,-0.03490658503988659,0.1,-28.7517
0.0,-0.026179938779914945,0.1,-28.2821
0.0,-0.017453292519943295,0.1,-27.9101
0.0,-0.008726646259971648,0.1,-27.6509
0.0,0.0,0.1,-27.5571
0.0,0.008726646259971648,0.1,-27.6509
0.0,0.017453292519943295,0.1,-27.9101
0.0,0.026179938779914945,0.1,-28.2821
0.0,0.03490658503988659,0.1,-28.7517
0.008726646259971648,-0.03490658503988659,0.1,-28.7874
0.008726646259971648,-0.026179938779914945,0.1,-28.3324
0.008726646259971648,-0.017453292519943295,0.1,-27.9673
0.008726646259971648,-0.008726646259971648,0.1,-27.7339
0.008726646259971648,0.0,0.1,-27.6509
0.008726646259971648,0.008726646259971648,0.1,-27.7339
0.008726646259971648,0.017453292519943295,0.1,-27.9671
0.008726646259971648,0.026179938779914945,0.1,-28.3317
0.008726646259971648,0.03490658503988659,0.1,-28.7859
0.017453292519943295,-0.03490658503988659,0.1,-28.8914
0.017453292519943295,-0.026179938779914945,0.1,-28.4741
0.017453292519943295,-0.017453292519943295,0.1,-28.1568
0.017453292519943295,-0.008726646259971648,0.1,-27.9671
0.017453292519943295,0.0,0.1,-27.9101
0.017453292519943295,0.008726646259971648,0.1,-27.9673
0.017453292519943295,0.017453292519943295,0.1,-28.1568
0.017453292519943295,0.026179938779914945,0.1,-28.4732
0.017453292519943295,0.03490658503988659,0.1,-28.8894
0.026179938779914945,-0.03490658503988659,0.1,-29.0586
0.026179938779914945,-0.026179938779914945,0.1,-28.7162
0.026179938779914945,-0.017453292519943295,0.1,-28.4732
0.026179938779914945,-0.008726646259971648,0.1,-28.3317
0.026179938779914945,0.0,0.1,-28.2821
0.026179938779914945,0.008726646259971648,0.1,-28.3324
0.026179938779914945,0.017453292519943295,0.1,-28.4741
0.026179938779914945,0.026179938779914945,0.1,-28.7162
0.026179938779914945,0.03490658503988659,0.1,-29.0572
0.03490658503988659,-0.03490658503988659,0.1,-29.3089
0.03490658503988659,-0.026179938779914945,0.1,-29.0572
0.03490658503988659,-0.017453292519943295,0.1,-28.8894
0.03490658503988659,-0.008726646259971648,0.1,-28.7859
0.03490658503988659,0.0,0.1,-28.7517
0.03490658503988659,0.008726646259971648,0.1,-28.7874
0.03490658503988659,0.017453292519943295,0.1,-28.8914
0.03490658503988659,0.026179938779914945,0.1,-29.0586
0.03490658503988659,0.03490658503988659,0.1,-29.3089
-0.03490658503988659,-0.03490658503988659,0.2,-29.55
-0.03490658503988659,-0.026179938779914945,0.2,-29.2998
-0.03490658503988659,-0.017453292519943295,0.2,-29.1263
-0.03490658503988659,-0.008726646259971648,0.2,-29.0185
