alpha,beta,mach,Cl_q [1/rad]
-0.03490658503988659,-0.03490658503988659,0.01,-0.0
-0.03490658503988659,-0.026179938779914945,0.01,-0.1401
-0.03490658503988659,-0.017453292519943295,0.01,-0.3576
-0.03490658503988659,-0.008726646259971648,0.01,-0.4759
-0.03490658503988659,0.0,0.01,0.0
-0.03490658503988659,0.008726646259971648,0.01,0.4759
-0.03490658503988659,0.017453292519943295,0.01,0.3576
-0.03490658503988659,0.026179938779914945,0.01,0.1401
-0.03490658503988659,0.03490658503988659,0.01,-0.0
-0.026179938779914945,-0.03490658503988659,0.01,0.1401
-0.026179938779914945,-0.026179938779914945,0.01,-0.0
-0.026179938779914945,-0.017453292519943295,0.01,-0.1938
-0.026179938779914945,-0.008726646259971648,0.01,-0.4223
-0.026179938779914945,0.0,0.01,0.0
-0.026179938779914945,0.008726646259971648,0.01,0.4223
-0.026179938779914945,0.017453292519943295,0.01,0.1937
-0.026179938779914945,0.026179938779914945,0.01,-0.0
-0.026179938779914945,0.03490658503988659,0.01,-0.1401
-0.017453292519943295,-0.03490658503988659,0.01,0.3576
-0.017453292519943295,-0.026179938779914945,0.01,0.1937
-0.017453292519943295,-0.017453292519943295,0.01,-0.0
-0.017453292519943295,-0.008726646259971648,0.01,-0.2966
-0.017453292519943295,0.0,0.01,0.0
-0.017453292519943295,0.008726646259971648,0.01,0.2965
-0.017453292519943295,0.017453292519943295,0.01,-0.0
-0.017453292519943295,0.026179938779914945,0.01,-0.1938
-0.017453292519943295,0.03490658503988659,0.01,-0.3576
-0.008726646259971648,-0.03490658503988659,0.01,0.4758
-0.008726646259971648,-0.026179938779914945,0.01,0.4223
-0.008726646259971648,-0.017453292519943295,0.01,0.2966
-0.008726646259971648,-0.008726646259971648,0.01,-0.0
-0.008726646259971648,0.0,0.01,0.0
-0.008726646259971648,0.008726646259971648,0.01,-0.0
-0.008726646259971648,0.017453292519943295,0.01,-0.2965
-0.008726646259971648,0.026179938779914945,0.01,-0.4223
-0.008726646259971648,0.03490658503988659,0.01,-0.4759
0.0,-0.03490658503988659,0.01,0.0
0.0,-0.026179938779914945,0.01,0.0
0.0,-0.017453292519943295,0.01,0.0
0.0,-0.008726646259971648,0.01,0.0
0.0,0.0,0.01,0.0
0.0,0.008726646259971648,0.01,-0.0
0.0,0.017453292519943295,0.01,0.0
0.0,0.026179938779914945,0.01,0.0
0.0,0.03490658503988659,0.01,0.0
0.008726646259971648,-0.03490658503988659,0.01,-0.4759
0.008726646259971648,-0.026179938779914945,0.01,-0.4223
0.008726646259971648,-0.017453292519943295,0.01,-0.2966
0.008726646259971648,-0.008726646259971648,0.01,0.0
0.008726646259971648,0.0,0.01,0.0
0.008726646259971648,0.008726646259971648,0.01,-0.0
0.008726646259971648,0.017453292519943295,0.01,0.2965
0.008726646259971648,0.026179938779914945,0.01,0.4223
0.008726646259971648,0.03490658503988659,0.01,0.4759
0.017453292519943295,-0.03490658503988659,0.01,-0.3576
0.017453292519943295,-0.026179938779914945,0.01,-0.1938
0.017453292519943295,-0.017453292519943295,0.01,0.0
0.017453292519943295,-0.008726646259971648,0.01,0.2965
0.017453292519943295,0.0,0.01,0.0
0.017453292519943295,0.008726646259971648,0.01,-0.2965
0.017453292519943295,0.017453292519943295,0.01,-0.0
0.017453292519943295,0.026179938779914945,0.01,0.1937
0.017453292519943295,0.03490658503988659,0.01,0.3576
0.026179938779914945,-0.03490658503988659,0.01,-0.1401
0.026179938779914945,-0.026179938779914945,0.01,-0.0
0.026179938779914945,-0.017453292519943295,0.01,0.1937
0.026179938779914945,-0.008726646259971648,0.01,0.4223
0.026179938779914945,0.0,0.01,0.0
0.026179938779914945,0.008726646259971648,0.01,-0.4223
0.026179938779914945,0.017453292519943295,0.01,-0.1938
0.026179938779914945,0.026179938779914945,0.01,-0.0
0.026179938779914945,0.03490658503988659,0.01,0.1401
0.03490658503988659,-0.03490658503988659,0.01,-0.0
0.03490658503988659,-0.026179938779914945,0.01,0.1401
0.03490658503988659,-0.017453292519943295,0.01,0.3576
0.03490658503988659,-0.008726646259971648,0.01,0.4758
0.03490658503988659,0.0,0.01,0.0
0.03490658503988659,0.008726646259971648,0.01,-0.4758
0.03490658503988659,0.017453292519943295,0.01,-0.3576
0.03490658503988659,0.026179938779914945,0.01,-0.1401
0.03490658503988659,0.03490658503988659,0.01,-0.0
-0.03490658503988659,-0.03490658503988659,0.1,-0.0
-0.03490658503988659,-0.026179938779914945,0.1,-0.127
-0.03490658503988659,-0.017453292519943295,0.1,-0.325
-0.03490658503988659,-0.008726646259971648,0.1,-0.4265
-0.03490658503988659,0.0,0.1,0.0
-0.03490658503988659,0.008726646259971648,0.1,0.4265
-0.03490658503988659,0.017453292519943295,0.1,0.325
-0.03490658503988659,0.026179938779914945,0.1,0.127
-0.03490658503988659,0.03490658503988659,0.1,-0.0
-0.026179938779914945,-0.03490658503988659,0.1,0.127
-0.026179938779914945,-0.026179938779914945,0.1,-0.0
-0.026179938779914945,-0.017453292519943295,0.1,-0.1753
-0.026179938779914945,-0.008726646259971648,0.1,-0.3799
-0.026179938779914945,0.0,0.1,0.0
-0.026179938779914945,0.008726646259971648,0.1,0.3799
-0.026179938779914945,0.017453292519943295,0.1,0.1753
-0.026179938779914945,0.026179938779914945,0.1,-0.0
-0.026179938779914945,0.03490658503988659,0.1,-0.127
-0.017453292519943295,-0.03490658503988659,0.1,0.325
-0.017453292519943295,-0.026179938779914945,0.1,0.1753
-0.017453292519943295,-0.017453292519943295,0.1,-0.0
-0.017453292519943295,-0.008726646259971648,0.1,-0.2667
-0.017453292519943295,0.0,0.1,0.0
-0.017453292519943295,0.008726646259971648,0.1,0.2667
-0.017453292519943295,0.017453292519943295,0.1,-0.0
-0.017453292519943295,0.026179938779914945,0.1,-0.1753
-0.017453292519943295,0.03490658503988659,0.1,-0.325
-0.008726646259971648,-0.03490658503988659,0.1,0.4265
-0.008726646259971648,-0.026179938779914945,0.1,0.3799
-0.008726646259971648,-0.017453292519943295,0.1,0.2667
-0.008726646259971648,-0.008726646259971648,0.1,-0.0
-0.008726646259971648,0.0,0.1,0.0
-0.008726646259971648,0.008726646259971648,0.1,-0.0
-0.008726646259971648,0.017453292519943295,0.1,-0.2667
-0.008726646259971648,0.026179938779914945,0.1,-0.3799
-0.008726646259971648,0.03490658503988659,0.1,-0.4265
0.0,-0.03490658503988659,0.1,-0.0
0.0,-0.026179938779914945,0.1,0.0
0.0,-0.017453292519943295,0.1,0.0
0.0,-0.008726646259971648,0.1,0.0
0.0,0.0,0.1,0.0
0.0,0.008726646259971648,0.1,-0.0
0.0,0.017453292519943295,0.1,-0.0
0.0,0.026179938779914945,0.1,0.0
0.0,0.03490658503988659,0.1,-0.0
0.008726646259971648,-0.03490658503988659,0.1,-0.4265
0.008726646259971648,-0.026179938779914945,0.1,-0.3798
0.008726646259971648,-0.017453292519943295,0.1,-0.2667
0.008726646259971648,-0.008726646259971648,0.1,0.0
0.008726646259971648,0.0,0.1,0.0
0.008726646259971648,0.008726646259971648,0.1,-0.0
0.008726646259971648,0.017453292519943295,0.1,0.2667
0.008726646259971648,0.026179938779914945,0.1,0.3799
0.008726646259971648,0.03490658503988659,0.1,0.4265
0.017453292519943295,-0.03490658503988659,0.1,-0.325
0.017453292519943295,-0.026179938779914945,0.1,-0.1753
0.017453292519943295,-0.017453292519943295,0.1,0.0
0.017453292519943295,-0.008726646259971648,0.1,0.2667
0.017453292519943295,0.0,0.1,0.0
0.017453292519943295,0.008726646259971648,0.1,-0.2667
0.017453292519943295,0.017453292519943295,0.1,-0.0
0.017453292519943295,0.026179938779914945,0.1,0.1753
0.017453292519943295,0.03490658503988659,0.1,0.325
0.026179938779914945,-0.03490658503988659,0.1,-0.127
0.026179938779914945,-0.026179938779914945,0.1,-0.0
0.026179938779914945,-0.017453292519943295,0.1,0.1753
0.026179938779914945,-0.008726646259971648,0.1,0.3799
0.026179938779914945,0.0,0.1,0.0
0.026179938779914945,0.008726646259971648,0.1,-0.3798
0.026179938779914945,0.017453292519943295,0.1,-0.1753
0.026179938779914945,0.026179938779914945,0.1,-0.0
0.026179938779914945,0.03490658503988659,0.1,0.127
0.03490658503988659,-0.03490658503988659,0.1,-0.0
0.03490658503988659,-0.026179938779914945,0.1,0.127
0.03490658503988659,-0.017453292519943295,0.1,0.325
0.03490658503988659,-0.008726646259971648,0.1,0.4265
0.03490658503988659,0.0,0.1,-0.0
0.03490658503988659,0.008726646259971648,0.1,-0.4265
0.03490658503988659,0.017453292519943295,0.1,-0.325
0.03490658503988659,0.026179938779914945,0.1,-0.127
0.03490658503988659,0.03490658503988659,0.1,-0.0
-0.03490658503988659,-0.03490658503988659,0.2,-0.0
-0.03490658503988659,-0.026179938779914945,0.2,-0.1134
-0.03490658503988659,-0.017453292519943295,0.2,-0.2908
-0.03490658503988659,-0.008726646259971648,0.2,-0.3737
-0.03490658503988659,0.0,0.2,-0.0
-0.03490658503988659,0.008726646259971648,0.2,0.3737
-0.03490658503988659,0.017453292519943295,0.2,0.2908
-0.03490658503988659,0.026179938779914945,0.2,0.1134
-0.03490658503988659,0.03490658503988659,0.2,-0.0
-0.026179938779914945,-0.03490658503988659,0.2,0.1134
-0.026179938779914945,-0.026179938779914945,0.2,-0.0
-0.026179938779914945,-0.017453292519943295,0.2,-0.1562
