alpha,beta,mach,Cmp [1/rad]
-0.03490658503988659,-0.03490658503988659,0.01,3.4313
-0.03490658503988659,-0.026179938779914945,0.01,4.785
-0.03490658503988659,-0.017453292519943295,0.01,5.9789
-0.03490658503988659,-0.008726646259971648,0.01,6.8302
-0.03490658503988659,0.0,0.01,7.1552
-0.03490658503988659,0.008726646259971648,0.01,6.8346
-0.03490658503988659,0.017453292519943295,0.01,5.9863
-0.03490658503988659,0.026179938779914945,0.01,4.7917
-0.03490658503988659,0.03490658503988659,0.01,3.4313
-0.026179938779914945,-0.03490658503988659,0.01,2.5275
-0.026179938779914945,-0.026179938779914945,0.01,3.8193
-0.026179938779914945,-0.017453292519943295,0.01,4.961
-0.026179938779914945,-0.008726646259971648,0.01,5.7427
-0.026179938779914945,0.0,0.01,6.0142
-0.026179938779914945,0.008726646259971648,0.01,5.7461
-0.026179938779914945,0.017453292519943295,0.01,4.9653
-0.026179938779914945,0.026179938779914945,0.01,3.8193
-0.026179938779914945,0.03490658503988659,0.01,2.5157
-0.017453292519943295,-0.03490658503988659,0.01,1.6697
-0.017453292519943295,-0.026179938779914945,0.01,2.6958
-0.017453292519943295,-0.017453292519943295,0.01,3.579
-0.017453292519943295,-0.008726646259971648,0.01,4.1456
-0.017453292519943295,0.0,0.01,4.3367
-0.017453292519943295,0.008726646259971648,0.01,4.1473
-0.017453292519943295,0.017453292519943295,0.01,3.579
-0.017453292519943295,0.026179938779914945,0.01,2.6879
-0.017453292519943295,0.03490658503988659,0.01,1.646
-0.008726646259971648,-0.03490658503988659,0.01,0.84
-0.008726646259971648,-0.026179938779914945,0.01,1.4199
-0.008726646259971648,-0.017453292519943295,0.01,1.8732
-0.008726646259971648,-0.008726646259971648,0.01,2.1695
-0.008726646259971648,0.0,0.01,2.2779
-0.008726646259971648,0.008726646259971648,0.01,2.1695
-0.008726646259971648,0.017453292519943295,0.01,1.8693
-0.008726646259971648,0.026179938779914945,0.01,1.4057
-0.008726646259971648,0.03490658503988659,0.01,0.8079
0.0,-0.03490658503988659,0.01,0.0176
0.0,-0.026179938779914945,0.01,0.0083
0.0,-0.017453292519943295,0.01,0.0027
0.0,-0.008726646259971648,0.01,0.0004
0.0,0.0,0.01,0.0
0.0,0.008726646259971648,0.01,-0.0004
0.0,0.017453292519943295,0.01,-0.0027
0.0,0.026179938779914945,0.01,-0.0083
0.0,0.03490658503988659,0.01,-0.0176
0.008726646259971648,-0.03490658503988659,0.01,-0.8079
0.008726646259971648,-0.026179938779914945,0.01,-1.4057
0.008726646259971648,-0.017453292519943295,0.01,-1.8693
0.008726646259971648,-0.008726646259971648,0.01,-2.1695
0.008726646259971648,0.0,0.01,-2.2779
0.008726646259971648,0.008726646259971648,0.01,-2.1695
0.008726646259971648,0.017453292519943295,0.01,-1.8732
0.008726646259971648,0.026179938779914945,0.01,-1.4199
0.008726646259971648,0.03490658503988659,0.01,-0.84
0.017453292519943295,-0.03490658503988659,0.01,-1.646
0.017453292519943295,-0.026179938779914945,0.01,-2.6879
0.017453292519943295,-0.017453292519943295,0.01,-3.579
0.017453292519943295,-0.008726646259971648,0.01,-4.1472
0.017453292519943295,0.0,0.01,-4.3367
0.017453292519943295,0.008726646259971648,0.01,-4.1456
0.017453292519943295,0.017453292519943295,0.01,-3.579
0.017453292519943295,0.026179938779914945,0.01,-2.6958
0.017453292519943295,0.03490658503988659,0.01,-1.6696
0.026179938779914945,-0.03490658503988659,0.01,-2.5157
0.026179938779914945,-0.026179938779914945,0.01,-3.8193
0.026179938779914945,-0.017453292519943295,0.01,-4.9653
0.026179938779914945,-0.008726646259971648,0.01,-5.7461
0.026179938779914945,0.0,0.01,-6.0142
0.026179938779914945,0.008726646259971648,0.01,-5.7427
0.026179938779914945,0.017453292519943295,0.01,-4.961
0.026179938779914945,0.026179938779914945,0.01,-3.8193
0.026179938779914945,0.03490658503988659,0.01,-2.5275
0.03490658503988659,-0.03490658503988659,0.01,-3.4313
0.03490658503988659,-0.026179938779914945,0.01,-4.7917
0.03490658503988659,-0.017453292519943295,0.01,-5.9863
0.03490658503988659,-0.008726646259971648,0.01,-6.8347
0.03490658503988659,0.0,0.01,-7.1552
0.03490658503988659,0.008726646259971648,0.01,-6.8301
0.03490658503988659,0.017453292519943295,0.01,-5.9789
0.03490658503988659,0.026179938779914945,0.01,-4.785
0.03490658503988659,0.03490658503988659,0.01,-3.4313
-0.03490658503988659,-0.03490658503988659,0.1,3.4413
-0.03490658503988659,-0.026179938779914945,0.1,4.798
-0.03490658503988659,-0.017453292519943295,0.1,5.994
-0.03490658503988659,-0.008726646259971648,0.1,6.8464
-0.03490658503988659,0.0,0.1,7.1719
-0.03490658503988659,0.008726646259971648,0.1,6.8509
-0.03490658503988659,0.017453292519943295,0.1,6.0014
-0.03490658503988659,0.026179938779914945,0.1,4.8047
-0.03490658503988659,0.03490658503988659,0.1,3.4413
-0.026179938779914945,-0.03490658503988659,0.1,2.5346
-0.026179938779914945,-0.026179938779914945,0.1,3.8291
-0.026179938779914945,-0.017453292519943295,0.1,4.9732
-0.026179938779914945,-0.008726646259971648,0.1,5.7564
-0.026179938779914945,0.0,0.1,6.0284
-0.026179938779914945,0.008726646259971648,0.1,5.7597
-0.026179938779914945,0.017453292519943295,0.1,4.9775
-0.026179938779914945,0.026179938779914945,0.1,3.8291
-0.026179938779914945,0.03490658503988659,0.1,2.5227
-0.017453292519943295,-0.03490658503988659,0.1,1.6741
-0.017453292519943295,-0.026179938779914945,0.1,2.7021
-0.017453292519943295,-0.017453292519943295,0.1,3.5873
-0.017453292519943295,-0.008726646259971648,0.1,4.1557
-0.017453292519943295,0.0,0.1,4.3474
-0.017453292519943295,0.008726646259971648,0.1,4.1573
-0.017453292519943295,0.017453292519943295,0.1,3.5874
-0.017453292519943295,0.026179938779914945,0.1,2.6941
-0.017453292519943295,0.03490658503988659,0.1,1.6504
-0.008726646259971648,-0.03490658503988659,0.1,0.8421
-0.008726646259971648,-0.026179938779914945,0.1,1.423
-0.008726646259971648,-0.017453292519943295,0.1,1.8773
-0.008726646259971648,-0.008726646259971648,0.1,2.1748
-0.008726646259971648,0.0,0.1,2.2839
-0.008726646259971648,0.008726646259971648,0.1,2.1748
-0.008726646259971648,0.017453292519943295,0.1,1.8734
-0.008726646259971648,0.026179938779914945,0.1,1.4088
-0.008726646259971648,0.03490658503988659,0.1,0.81
0.0,-0.03490658503988659,0.1,0.0176
0.0,-0.026179938779914945,0.1,0.0083
0.0,-0.017453292519943295,0.1,0.0027
0.0,-0.008726646259971648,0.1,0.0004
0.0,0.0,0.1,0.0
0.0,0.008726646259971648,0.1,-0.0004
0.0,0.017453292519943295,0.1,-0.0027
0.0,0.026179938779914945,0.1,-0.0083
0.0,0.03490658503988659,0.1,-0.0175
0.008726646259971648,-0.03490658503988659,0.1,-0.81
0.008726646259971648,-0.026179938779914945,0.1,-1.4088
0.008726646259971648,-0.017453292519943295,0.1,-1.8734
0.008726646259971648,-0.008726646259971648,0.1,-2.1748
0.008726646259971648,0.0,0.1,-2.2838
0.008726646259971648,0.008726646259971648,0.1,-2.1748
0.008726646259971648,0.017453292519943295,0.1,-1.8773
0.008726646259971648,0.026179938779914945,0.1,-1.423
0.008726646259971648,0.03490658503988659,0.1,-0.8421
0.017453292519943295,-0.03490658503988659,0.1,-1.6504
0.017453292519943295,-0.026179938779914945,0.1,-2.6941
0.017453292519943295,-0.017453292519943295,0.1,-3.5873
0.017453292519943295,-0.008726646259971648,0.1,-4.1573
0.017453292519943295,0.0,0.1,-4.3474
0.017453292519943295,0.008726646259971648,0.1,-4.1557
0.017453292519943295,0.017453292519943295,0.1,-3.5873
0.017453292519943295,0.026179938779914945,0.1,-2.7021
0.017453292519943295,0.03490658503988659,0.1,-1.6741
0.026179938779914945,-0.03490658503988659,0.1,-2.5228
0.026179938779914945,-0.026179938779914945,0.1,-3.8291
0.026179938779914945,-0.017453292519943295,0.1,-4.9775
0.026179938779914945,-0.008726646259971648,0.1,-5.7597
0.026179938779914945,0.0,0.1,-6.0284
0.026179938779914945,0.008726646259971648,0.1,-5.7564
0.026179938779914945,0.017453292519943295,0.1,-4.9732
0.026179938779914945,0.026179938779914945,0.1,-3.8291
0.026179938779914945,0.03490658503988659,0.1,-2.5346
0.03490658503988659,-0.03490658503988659,0.1,-3.4413
0.03490658503988659,-0.026179938779914945,0.1,-4.8047
0.03490658503988659,-0.017453292519943295,0.1,-6.0014
0.03490658503988659,-0.008726646259971648,0.1,-6.8509
0.03490658503988659,0.0,0.1,-7.1719
0.03490658503988659,0.008726646259971648,0.1,-6.8464
0.03490658503988659,0.017453292519943295,0.1,-5.994
0.03490658503988659,0.026179938779914945,0.1,-4.798
0.03490658503988659,0.03490658503988659,0.1,-3.4413
-0.03490658503988659,-0.03490658503988659,0.2,3.446
-0.03490658503988659,-0.026179938779914945,0.2,4.8038
-0.03490658503988659,-0.017453292519943295,0.2,6.0005
-0.03490658503988659,-0.008726646259971648,0.2,6.8535
-0.03490658503988659,0.0,0.2,7.1791
-0.03490658503988659,0.008726646259971648,0.2,6.8579
-0.03490658503988659,0.017453292519943295,0.2,6.0079
-0.03490658503988659,0.026179938779914945,0.2,4.8105
-0.03490658503988659,0.03490658503988659,0.2,3.446
-0.026179938779914945,-0.03490658503988659,0.2,2.537
-0.026179938779914945,-0.026179938779914945,0.2,3.8329
-0.026179938779914945,-0.017453292519943295,0.2,4.9785
-0.026179938779914945,-0.008726646259971648,0.2,5.7627
-0.026179938779914945,0.0,0.2,6.0351
-0.026179938779914945,0.008726646259971648,0.2,5.7661
-0.026179938779914945,0.017453292519943295,0.2,4.9828
-0.026179938779914945,0.026179938779914945,0.2,3.8329
-0.026179938779914945,0.03490658503988659,0.2,2.5252
-0.017453292519943295,-0.03490658503988659,0.2,1.6751
-0.017453292519943295,-0.026179938779914945,0.2,2.704
-0.017453292519943295,-0.017453292519943295,0.2,3.5909
-0.017453292519943295,-0.008726646259971648,0.2,4.1607
-0.017453292519943295,0.0,0.2,4.3529
-0.017453292519943295,0.008726646259971648,0.2,4.1624
-0.017453292519943295,0.017453292519943295,0.2,3.5909
-0.017453292519943295,0.026179938779914945,0.2,2.6961
-0.017453292519943295,0.03490658503988659,0.2,1.6515
-0.008726646259971648,-0.03490658503988659,0.2,0.8424
-0.008726646259971648,-0.026179938779914945,0.2,1.4238
-0.008726646259971648,-0.017453292519943295,0.2,1.879
-0.008726646259971648,-0.008726646259971648,0.2,2.1776
-0.008726646259971648,0.0,0.2,2.2872
-0.008726646259971648,0.008726646259971648,0.2,2.1776
-0.008726646259971648,0.017453292519943295,0.2,1.8751
-0.008726646259971648,0.026179938779914945,0.2,1.4096
-0.008726646259971648,0.03490658503988659,0.2,0.8103
0.0,-0.03490658503988659,0.2,0.0175
0.0,-0.026179938779914945,0.2,0.0083
0.0,-0.017453292519943295,0.2,0.0027
0.0,-0.008726646259971648,0.2,0.0004
0.0,0.0,0.2,0.0
0.0,0.008726646259971648,0.2,-0.0004
0.0,0.017453292519943295,0.2,-0.0027
0.0,0.026179938779914945,0.2,-0.0083
0.0,0.03490658503988659,0.2,-0.0175
0.008726646259971648,-0.03490658503988659,0.2,-0.8103
0.008726646259971648,-0.026179938779914945,0.2,-1.4096
0.008726646259971648,-0.017453292519943295,0.2,-1.8751
0.008726646259971648,-0.008726646259971648,0.2,-2.1776
0.008726646259971648,0.0,0.2,-2.2872
0.008726646259971648,0.008726646259971648,0.2,-2.1776
0.008726646259971648,0.017453292519943295,0.2,-1.879
0.008726646259971648,0.026179938779914945,0.2,-1.4238
0.008726646259971648,0.03490658503988659,0.2,-0.8424
0.017453292519943295,-0.03490658503988659,0.2,-1.6515
0.017453292519943295,-0.026179938779914945,0.2,-2.6961
0.017453292519943295,-0.017453292519943295,0.2,-3.5909
0.017453292519943295,-0.008726646259971648,0.2,-4.1624
0.017453292519943295,0.0,0.2,-4.3529
0.017453292519943295,0.008726646259971648,0.2,-4.1607
0.017453292519943295,0.017453292519943295,0.2,-3.5909
0.017453292519943295,0.026179938779914945,0.2,-2.704
0.017453292519943295,0.03490658503988659,0.2,-1.6751
0.026179938779914945,-0.03490658503988659,0.2,-2.5252
0.026179938779914945,-0.026179938779914945,0.2,-3.8329
0.026179938779914945,-0.017453292519943295,0.2,-4.9827
0.026179938779914945,-0.008726646259971648,0.2,-5.7661
0.026179938779914945,0.0,0.2,-6.0351
0.026179938779914945,0.008726646259971648,0.2,-5.7627
0.026179938779914945,0.017453292519943295,0.2,-4.9785
0.026179938779914945,0.026179938779914945,0.2,-3.8329
0.026179938779914945,0.03490658503988659,0.2,-2.537
0.03490658503988659,-0.03490658503988659,0.2,-3.446
0.03490658503988659,-0.026179938779914945,0.2,-4.8105
0.03490658503988659,-0.017453292519943295,0.2,-6.0079
0.03490658503988659,-0.008726646259971648,0.2,-6.8579
0.03490658503988659,0.0,0.2,-7.179
0.03490658503988659,0.008726646259971648,0.2,-6.8535
0.03490658503988659,0.017453292519943295,0.2,-6.0005
0.03490658503988659,0.026179938779914945,0.2,-4.8038
0.03490658503988659,0.03490658503988659,0.2,-3.446
-0.03490658503988659,-0.03490658503988659,0.3,3.4355
-0.03490658503988659,-0.026179938779914945,0.3,4.7896
-0.03490658503988659,-0.017453292519943295,0.3,5.9833
