alpha [deg],beta [deg],mach [-],CA0 [-]
-2,-2,0.01,0.5458
-1,-2,0.01,0.5458
0,-2,0.01,0.5459
1,-2,0.01,0.5458
2,-2,0.01,0.5458
-2,-2,0.1,0.3719
-1,-2,0.1,0.372
0,-2,0.1,0.372
1,-2,0.1,0.372
2,-2,0.1,0.3719
-2,-2,0.2,0.3702
-1,-2,0.2,0.3702
0,-2,0.2,0.3702
1,-2,0.2,0.3702
2,-2,0.2,0.3702
-2,-2,0.5,0.3629
-1,-2,0.5,0.363
0,-2,0.5,0.363
1,-2,0.5,0.363
2,-2,0.5,0.3629
-2,-2,0.75,0.3557
-1,-2,0.75,0.3558
0,-2,0.75,0.3558
1,-2,0.75,0.3558
2,-2,0.75,0.3557
-2,-2,1,0.6835
-1,-2,1,0.6836
0,-2,1,0.6836
1,-2,1,0.6836
2,-2,1,0.6835
-2,-1,0.01,0.5458
-1,-1,0.01,0.5459
0,-1,0.01,0.5458
1,-1,0.01,0.5459
2,-1,0.01,0.5458
-2,-1,0.1,0.372
-1,-1,0.1,0.3719
0,-1,0.1,0.3719
1,-1,0.1,0.3719
2,-1,0.1,0.372
-2,-1,0.2,0.3702
-1,-1,0.2,0.3701
0,-1,0.2,0.3701
1,-1,0.2,0.3701
2,-1,0.2,0.3702
-2,-1,0.5,0.363
-1,-1,0.5,0.3629
0,-1,0.5,0.3629
1,-1,0.5,0.3629
2,-1,0.5,0.363
-2,-1,0.75,0.3558
-1,-1,0.75,0.3558
0,-1,0.75,0.3557
1,-1,0.75,0.3558
2,-1,0.75,0.3558
-2,-1,1,0.6836
-1,-1,1,0.6836
0,-1,1,0.6836
1,-1,1,0.6836
2,-1,1,0.6836
-2,0,0.01,0.5459
-1,0,0.01,0.5458
0,0,0.01,0.5457
1,0,0.01,0.5458
2,0,0.01,0.5459
-2,0,0.1,0.372
-1,0,0.1,0.3719
0,0,0.1,0.3717
1,0,0.1,0.3719
2,0,0.1,0.372
-2,0,0.2,0.3702
-1,0,0.2,0.3701
0,0,0.2,0.3699
1,0,0.2,0.3701
2,0,0.2,0.3702
-2,0,0.5,0.363
-1,0,0.5,0.3629
0,0,0.5,0.3628
1,0,0.5,0.3629
2,0,0.5,0.363
-2,0,0.75,0.3558
-1,0,0.75,0.3557
0,0,0.75,0.3556
1,0,0.75,0.3557
2,0,0.75,0.3558
-2,0,1,0.6836
-1,0,1,0.6836
0,0,1,0.6835
1,0,1,0.6836
2,0,1,0.6836
-2,1,0.01,0.5458
-1,1,0.01,0.5459
0,1,0.01,0.5458
1,1,0.01,0.5459
2,1,0.01,0.5458
-2,1,0.1,0.372
-1,1,0.1,0.3719
0,1,0.1,0.3719
1,1,0.1,0.3719
2,1,0.1,0.372
-2,1,0.2,0.3702
-1,1,0.2,0.3701
0,1,0.2,0.3701
1,1,0.2,0.3701
2,1,0.2,0.3702
-2,1,0.5,0.363
-1,1,0.5,0.3629
0,1,0.5,0.3629
1,1,0.5,0.3629
2,1,0.5,0.363
-2,1,0.75,0.3558
-1,1,0.75,0.3558
0,1,0.75,0.3557
1,1,0.75,0.3558
2,1,0.75,0.3558
-2,1,1,0.6836
-1,1,1,0.6836
0,1,1,0.6836
1,1,1,0.6836
2,1,1,0.6836
-2,2,0.01,0.5458
-1,2,0.01,0.5458
0,2,0.01,0.5459
1,2,0.01,0.5458
2,2,0.01,0.5458
-2,2,0.1,0.3719
-1,2,0.1,0.372
0,2,0.1,0.372
1,2,0.1,0.372
2,2,0.1,0.3719
-2,2,0.2,0.3702
-1,2,0.2,0.3702
0,2,0.2,0.3702
1,2,0.2,0.3702
2,2,0.2,0.3702
-2,2,0.5,0.3629
-1,2,0.5,0.363
0,2,0.5,0.363
1,2,0.5,0.363
2,2,0.5,0.3629
-2,2,0.75,0.3557
-1,2,0.75,0.3558
0,2,0.75,0.3558
1,2,0.75,0.3558
2,2,0.75,0.3557
-2,2,1,0.6835
-1,2,1,0.6836
0,2,1,0.6836
1,2,1,0.6836
2,2,1,0.6835
