alpha [deg],beta [deg],mach [-],CLN0 [-]
-2,-2,0.01,-2.2831
-1,-2,0.01,-2.207
0,-2,0.01,-2.1762
1,-2,0.01,-2.207
2,-2,0.01,-2.2831
-2,-2,0.1,-2.2859
-1,-2,0.1,-2.2099
0,-2,0.1,-2.1791
1,-2,0.1,-2.2099
2,-2,0.1,-2.2859
-2,-2,0.2,-2.2936
-1,-2,0.2,-2.2179
0,-2,0.2,-2.1872
1,-2,0.2,-2.2179
2,-2,0.2,-2.2936
-2,-2,0.5,-2.3728
-1,-2,0.5,-2.2993
0,-2,0.5,-2.2695
1,-2,0.5,-2.2993
2,-2,0.5,-2.3728
-2,-2,0.75,-2.4249
-1,-2,0.75,-2.366
0,-2,0.75,-2.3419
1,-2,0.75,-2.366
2,-2,0.75,-2.4249
-2,-2,1,-2.6421
-1,-2,1,-2.5926
0,-2,1,-2.5721
1,-2,1,-2.5926
2,-2,1,-2.6421
-2,-1,0.01,-1.1393
-1,-1,0.01,-1.0918
0,-1,0.01,-1.0752
1,-1,0.01,-1.0918
2,-1,0.01,-1.1393
-2,-1,0.1,-1.1407
-1,-1,0.1,-1.0933
0,-1,0.1,-1.0766
1,-1,0.1,-1.0933
2,-1,0.1,-1.1407
-2,-1,0.2,-1.1446
-1,-1,0.2,-1.0973
0,-1,0.2,-1.0807
1,-1,0.2,-1.0973
2,-1,0.2,-1.1446
-2,-1,0.5,-1.1845
-1,-1,0.5,-1.1385
0,-1,0.5,-1.1225
1,-1,0.5,-1.1385
2,-1,0.5,-1.1845
-2,-1,0.75,-1.2119
-1,-1,0.75,-1.1748
0,-1,0.75,-1.1619
1,-1,0.75,-1.1748
2,-1,0.75,-1.2119
-2,-1,1,-1.3219
-1,-1,1,-1.2904
0,-1,1,-1.2796
1,-1,1,-1.2904
2,-1,1,-1.3219
-2,0,0.01,-0.0
-1,0,0.01,-0.0
0,0,0.01,-0.0
1,0,0.01,0.0
2,0,0.01,-0.0
-2,0,0.1,-0.0
-1,0,0.1,0.0
0,0,0.1,-0.0
1,0,0.1,0.0
2,0,0.1,-0.0
-2,0,0.2,-0.0
-1,0,0.2,-0.0
0,0,0.2,-0.0
1,0,0.2,0.0
2,0,0.2,-0.0
-2,0,0.5,-0.0
-1,0,0.5,-0.0
0,0,0.5,-0.0
1,0,0.5,0.0
2,0,0.5,0.0
-2,0,0.75,-0.0
-1,0,0.75,-0.0
0,0,0.75,-0.0
1,0,0.75,0.0
2,0,0.75,-0.0
-2,0,1,-0.0
-1,0,1,0.0
0,0,1,-0.0
1,0,1,0.0
2,0,1,0.0
-2,1,0.01,1.1393
-1,1,0.01,1.0918
0,1,0.01,1.0752
1,1,0.01,1.0918
2,1,0.01,1.1393
-2,1,0.1,1.1407
-1,1,0.1,1.0933
0,1,0.1,1.0766
1,1,0.1,1.0933
2,1,0.1,1.1407
-2,1,0.2,1.1446
-1,1,0.2,1.0973
0,1,0.2,1.0807
1,1,0.2,1.0973
2,1,0.2,1.1446
-2,1,0.5,1.1845
-1,1,0.5,1.1385
0,1,0.5,1.1225
1,1,0.5,1.1385
2,1,0.5,1.1845
-2,1,0.75,1.2119
-1,1,0.75,1.1748
0,1,0.75,1.1619
1,1,0.75,1.1748
2,1,0.75,1.2119
-2,1,1,1.3219
-1,1,1,1.2904
0,1,1,1.2796
1,1,1,1.2904
2,1,1,1.3219
-2,2,0.01,2.2831
-1,2,0.01,2.207
0,2,0.01,2.1762
1,2,0.01,2.207
2,2,0.01,2.2831
-2,2,0.1,2.2859
-1,2,0.1,2.2099
0,2,0.1,2.1791
1,2,0.1,2.2099
2,2,0.1,2.2859
-2,2,0.2,2.2936
-1,2,0.2,2.2179
0,2,0.2,2.1872
1,2,0.2,2.2179
2,2,0.2,2.2936
-2,2,0.5,2.3728
-1,2,0.5,2.2993
0,2,0.5,2.2695
1,2,0.5,2.2993
2,2,0.5,2.3728
-2,2,0.75,2.4249
-1,2,0.75,2.366
0,2,0.75,2.3419
1,2,0.75,2.366
2,2,0.75,2.4249
-2,2,1,2.6421
-1,2,1,2.5926
0,2,1,2.5721
1,2,1,2.5926
2,2,1,2.6421
