alpha [deg],beta [deg],mach [-],CLNq [1/rad]
-2,-2,0.01,-759.9071
-1,-2,0.01,-944.3563
0,-2,0.01,-1091.6567
1,-2,0.01,-944.3563
2,-2,0.01,-759.9071
-2,-2,0.1,-759.4977
-1,-2,0.1,-944.3151
0,-2,0.1,-1091.907
1,-2,0.1,-944.3152
2,-2,0.1,-759.4977
-2,-2,0.2,-758.6005
-1,-2,0.2,-944.4329
0,-2,0.2,-1092.4968
1,-2,0.2,-944.4329
2,-2,0.2,-758.6005
-2,-2,0.5,-750.4999
-1,-2,0.5,-946.6323
0,-2,0.5,-1103.137
1,-2,0.5,-946.6323
2,-2,0.5,-750.4998
-2,-2,0.75,-716.3799
-1,-2,0.75,-917.6958
0,-2,0.75,-1073.9136
1,-2,0.75,-917.6958
2,-2,0.75,-716.3798
-2,-2,1,-727.1996
-1,-2,1,-929.4147
0,-2,1,-1075.1221
1,-2,1,-929.4147
2,-2,1,-727.1996
-2,-1,0.01,-513.2665
-1,-1,0.01,-763.4222
0,-1,0.01,-1071.2256
1,-1,0.01,-763.4222
2,-1,0.01,-513.2662
-2,-1,0.1,-512.8698
-1,-1,0.1,-763.236
0,-1,0.1,-1071.665
1,-1,0.1,-763.2361
2,-1,0.1,-512.8694
-2,-1,0.2,-512.0317
-1,-1,0.2,-762.9639
0,-1,0.2,-1072.6818
1,-1,0.2,-762.9638
2,-1,0.2,-512.0314
-2,-1,0.5,-504.2976
-1,-1,0.5,-761.1123
0,-1,0.5,-1087.0066
1,-1,0.5,-761.1123
2,-1,0.5,-504.2975
-2,-1,0.75,-475.0547
-1,-1,0.75,-732.4601
0,-1,0.75,-1063.7266
1,-1,0.75,-732.46
2,-1,0.75,-475.0544
-2,-1,1,-477.6762
-1,-1,1,-740.8834
0,-1,1,-1067.0707
1,-1,1,-740.8832
2,-1,1,-477.676
-2,0,0.01,0.0
-1,0,0.01,0.0001
0,0,0.01,0.0001
1,0,0.01,0.0001
2,0,0.01,0.0001
-2,0,0.1,0.0001
-1,0,0.1,0.0
0,0,0.1,0.0
1,0,0.1,0.0001
2,0,0.1,0.0
-2,0,0.2,0.0001
-1,0,0.2,0.0
0,0,0.2,0.0
1,0,0.2,0.0001
2,0,0.2,0.0001
-2,0,0.5,0.0001
-1,0,0.5,0.0
0,0,0.5,0.0
1,0,0.5,0.0001
2,0,0.5,0.0
-2,0,0.75,0.0001
-1,0,0.75,0.0
0,0,0.75,0.0001
1,0,0.75,0.0001
2,0,0.75,0.0
-2,0,1,0.0
-1,0,1,0.0
0,0,1,0.0001
1,0,1,0.0001
2,0,1,0.0001
-2,1,0.01,513.2665
-1,1,0.01,763.4222
0,1,0.01,1071.2256
1,1,0.01,763.4222
2,1,0.01,513.2663
-2,1,0.1,512.8696
-1,1,0.1,763.2361
0,1,0.1,1071.6652
1,1,0.1,763.236
2,1,0.1,512.8696
-2,1,0.2,512.0317
-1,1,0.2,762.964
0,1,0.2,1072.6818
1,1,0.2,762.964
2,1,0.2,512.0317
-2,1,0.5,504.2976
-1,1,0.5,761.1125
0,1,0.5,1087.0066
1,1,0.5,761.1125
2,1,0.5,504.2975
-2,1,0.75,475.0547
-1,1,0.75,732.4601
0,1,0.75,1063.7269
1,1,0.75,732.4601
2,1,0.75,475.0545
-2,1,1,477.6761
-1,1,1,740.8834
0,1,1,1067.0707
1,1,1,740.8834
2,1,1,477.6761
-2,2,0.01,759.9072
-1,2,0.01,944.3566
0,2,0.01,1091.6567
1,2,0.01,944.3563
2,2,0.01,759.9072
-2,2,0.1,759.4978
-1,2,0.1,944.3156
0,2,0.1,1091.907
1,2,0.1,944.3153
2,2,0.1,759.4978
-2,2,0.2,758.6007
-1,2,0.2,944.4329
0,2,0.2,1092.4968
1,2,0.2,944.4329
2,2,0.2,758.6007
-2,2,0.5,750.4999
-1,2,0.5,946.6322
0,2,0.5,1103.1372
1,2,0.5,946.6323
2,2,0.5,750.4999
-2,2,0.75,716.38
-1,2,0.75,917.696
0,2,0.75,1073.9137
1,2,0.75,917.696
2,2,0.75,716.38
-2,2,1,727.1996
-1,2,1,929.4147
0,2,1,1075.1223
1,2,1,929.4147
2,2,1,727.1996
