alpha [deg],beta [deg],mach [-],CMq [1/rad]
-2,-2,0.01,716.6117
-1,-2,0.01,469.9708
0,-2,0.01,-43.2955
1,-2,0.01,-556.5617
2,-2,0.01,-803.2026
-2,-2,0.1,715.7055
-1,-2,0.1,469.0771
0,-2,0.1,-43.7924
1,-2,0.1,-556.662
2,-2,0.1,-803.2902
-2,-2,0.2,713.2817
-1,-2,0.2,466.7125
0,-2,0.2,-45.319
1,-2,0.2,-557.3507
2,-2,0.2,-803.9197
-2,-2,0.5,693.6588
-1,-2,0.5,447.4562
0,-2,0.5,-56.8413
1,-2,0.5,-561.1388
2,-2,0.5,-807.3412
-2,-2,0.75,639.6294
-1,-2,0.75,398.3038
0,-2,0.75,-76.7505
1,-2,0.75,-551.8051
2,-2,0.75,-793.1305
-2,-2,1,617.9206
-1,-2,1,368.3969
0,-2,1,-109.2792
1,-2,1,-586.9553
2,-2,1,-836.4788
-2,-1,0.01,900.972
-1,-1,0.01,720.0377
0,-1,0.01,-43.3846
1,-1,0.01,-806.8068
2,-1,0.01,-987.7409
-2,-1,0.1,900.4324
-1,-1,0.1,719.3532
0,-1,0.1,-43.883
1,-1,0.1,-807.119
2,-1,0.1,-988.1982
-2,-1,0.2,899.0195
-1,-1,0.2,717.5508
0,-1,0.2,-45.4132
1,-1,0.2,-808.3771
2,-1,0.2,-989.846
-2,-1,0.5,889.6713
-1,-1,0.5,704.1514
0,-1,0.5,-56.961
1,-1,0.5,-818.0734
2,-1,0.5,-1003.5932
-2,-1,0.75,840.7819
-1,-1,0.75,655.5462
0,-1,0.75,-76.914
1,-1,0.75,-809.3741
2,-1,0.75,-994.6097
-2,-1,1,819.954
-1,-1,1,631.4227
0,-1,1,-109.4607
1,-1,1,-850.3439
2,-1,1,-1038.8754
-2,0,0.01,-1031.0264
-1,0,0.01,-1057.7974
0,0,0.01,-1087.8031
1,0,0.01,-1114.6587
2,0,0.01,-1135.0898
-2,0,0.1,-1032.2917
-1,0,0.1,-1059.0486
0,0,0.1,-1088.9402
1,0,0.1,-1115.5973
2,0,0.1,-1135.8392
-2,0,0.2,-1035.8795
-1,0,0.2,-1062.6012
0,0,0.2,-1092.1104
1,0,0.2,-1118.146
2,0,0.2,-1137.9611
-2,0,0.5,-1068.7024
-1,0,0.5,-1094.8926
0,0,0.5,-1121.9867
1,0,0.5,-1144.0321
2,0,0.5,-1160.1626
-2,0,0.75,-1082.7468
-1,0,0.75,-1103.3363
0,0,0.75,-1124.4756
1,0,0.75,-1140.7289
2,0,0.75,-1150.9155
-2,0,1,-1129.7321
-1,0,1,-1146.6558
0,0,1,-1163.8577
1,0,1,-1176.629
2,0,1,-1184.6804
-2,1,0.01,900.9717
-1,1,0.01,720.0375
0,1,0.01,-43.3847
1,1,0.01,-806.8068
2,1,0.01,-987.7409
-2,1,0.1,900.4323
-1,1,0.1,719.3531
0,1,0.1,-43.8829
1,1,0.1,-807.119
2,1,0.1,-988.1982
-2,1,0.2,899.0195
-1,1,0.2,717.5507
0,1,0.2,-45.4132
1,1,0.2,-808.3771
2,1,0.2,-989.846
-2,1,0.5,889.6713
-1,1,0.5,704.1514
0,1,0.5,-56.961
1,1,0.5,-818.0732
2,1,0.5,-1003.5931
-2,1,0.75,840.7819
-1,1,0.75,655.5461
0,1,0.75,-76.914
1,1,0.75,-809.3741
2,1,0.75,-994.6097
-2,1,1,819.954
-1,1,1,631.4225
0,1,1,-109.4607
1,1,1,-850.3441
2,1,1,-1038.8754
-2,2,0.01,716.6116
-1,2,0.01,469.9708
0,2,0.01,-43.2955
1,2,0.01,-556.5618
2,2,0.01,-803.2025
-2,2,0.1,715.7054
-1,2,0.1,469.077
0,2,0.1,-43.7925
1,2,0.1,-556.6619
2,2,0.1,-803.2902
-2,2,0.2,713.2816
-1,2,0.2,466.7124
0,2,0.2,-45.3191
1,2,0.2,-557.3506
2,2,0.2,-803.9197
-2,2,0.5,693.6586
-1,2,0.5,447.4561
0,2,0.5,-56.8414
1,2,0.5,-561.1389
2,2,0.5,-807.3412
-2,2,0.75,639.6293
-1,2,0.75,398.3038
0,2,0.75,-76.7506
1,2,0.75,-551.8049
2,2,0.75,-793.1305
-2,2,1,617.9204
-1,2,1,368.3967
0,2,1,-109.2792
1,2,1,-586.9553
2,2,1,-836.4788
