alpha [deg],beta [deg],mach [-],CMr [1/rad]
-2,-2,0.01,749.4438
-1,-2,0.01,935.5387
0,-2,0.01,1039.625
1,-2,0.01,916.1477
2,-2,0.01,749.4438
-2,-2,0.1,749.4887
-1,-2,0.1,935.8729
0,-2,0.1,1040.1334
1,-2,0.1,916.3469
2,-2,0.1,749.4886
-2,-2,0.2,749.9117
-1,-2,0.2,936.9518
0,-2,0.2,1041.4563
1,-2,0.2,917.185
2,-2,0.2,749.9118
-2,-2,0.5,754.5378
-1,-2,0.5,949.0399
0,-2,0.5,1057.4069
1,-2,0.5,926.1388
2,-2,0.5,754.5378
-2,-2,0.75,732.5229
-1,-2,0.75,929.9089
0,-2,0.75,1039.8292
1,-2,0.75,906.8317
2,-2,0.75,732.5228
-2,-2,1,739.2717
-1,-2,1,938.0178
0,-2,1,1047.6478
1,-2,1,919.5855
2,-2,1,739.2715
-2,-1,0.01,525.0112
-1,-1,0.01,752.5048
0,-1,0.01,1042.795
1,-1,0.01,752.5048
2,-1,0.01,473.621
-2,-1,0.1,524.8167
-1,-1,0.1,752.5423
0,-1,0.1,1043.3909
1,-1,0.1,752.5422
2,-1,0.1,473.638
-2,-1,0.2,524.5842
-1,-1,0.2,752.9407
0,-1,0.2,1044.9094
1,-1,0.2,752.9406
2,-1,0.2,473.8805
-2,-1,0.5,522.5003
-1,-1,0.5,757.3629
0,-1,0.5,1062.4368
1,-1,0.5,757.3629
2,-1,0.5,477.0902
-2,-1,0.75,495.5235
-1,-1,0.75,735.0997
0,-1,0.75,1045.0305
1,-1,0.75,735.0995
2,-1,0.75,463.8797
-2,-1,1,494.0583
-1,-1,1,742.1749
0,-1,1,1052.0841
1,-1,1,742.175
2,-1,1,467.1273
-2,0,0.01,52.0319
-1,0,0.01,28.4307
0,0,0.01,0.0
1,0,0.01,-28.4305
2,0,0.01,-52.0317
-2,0,0.1,51.7739
-1,0,0.1,28.2745
0,0,0.1,0.0001
1,0,0.1,-28.2744
2,0,0.1,-51.7737
-2,0,0.2,51.0409
-1,0,0.2,27.7725
0,0,0.2,0.0
1,0,0.2,-27.7723
2,0,0.2,-51.0406
-2,0,0.5,45.7302
-1,0,0.5,24.5698
0,0,0.5,0.0
1,0,0.5,-24.5698
2,0,0.5,-45.7302
-2,0,0.75,34.0845
-1,0,0.75,18.6964
0,0,0.75,0.0
1,0,0.75,-18.6963
2,0,0.75,-34.0843
-2,0,1,27.4744
-1,0,1,14.9867
0,0,1,0.0001
1,0,1,-14.9865
2,0,1,-27.4742
-2,1,0.01,-473.6211
-1,1,0.01,-752.5048
0,1,0.01,-1042.7948
1,1,0.01,-752.5048
2,1,0.01,-525.0112
-2,1,0.1,-473.6382
-1,1,0.1,-752.5422
0,1,0.1,-1043.3906
1,1,0.1,-752.5422
2,1,0.1,-524.8167
-2,1,0.2,-473.8806
-1,1,0.2,-752.9407
0,1,0.2,-1044.9093
1,1,0.2,-752.9406
2,1,0.2,-524.5842
-2,1,0.5,-477.0903
-1,1,0.5,-757.3629
0,1,0.5,-1062.4365
1,1,0.5,-757.3627
2,1,0.5,-522.5003
-2,1,0.75,-463.8798
-1,1,0.75,-735.0995
0,1,0.75,-1045.0304
1,1,0.75,-735.0995
2,1,0.75,-495.5234
-2,1,1,-467.1273
-1,1,1,-742.175
0,1,1,-1052.084
1,1,1,-742.1749
2,1,1,-494.0583
-2,2,0.01,-749.4438
-1,2,0.01,-916.1478
0,2,0.01,-1039.625
1,2,0.01,-935.5387
2,2,0.01,-749.4437
-2,2,0.1,-749.4888
-1,2,0.1,-916.3469
0,2,0.1,-1040.1333
1,2,0.1,-935.873
2,2,0.1,-749.4887
-2,2,0.2,-749.9118
-1,2,0.2,-917.185
0,2,0.2,-1041.4562
1,2,0.2,-936.9517
2,2,0.2,-749.9117
-2,2,0.5,-754.5378
-1,2,0.5,-926.1386
0,2,0.5,-1057.4069
1,2,0.5,-949.0399
2,2,0.5,-754.5377
-2,2,0.75,-732.5229
-1,2,0.75,-906.8317
0,2,0.75,-1039.8292
1,2,0.75,-929.9091
2,2,0.75,-732.5227
-2,2,1,-739.2717
-1,2,1,-919.5855
0,2,1,-1047.6477
1,2,1,-938.0178
2,2,1,-739.2715
