alpha [deg],beta [deg],mach [-],CN0 [-]
-2,-2,0.01,-0.6076
-1,-2,0.01,-0.3013
0,-2,0.01,0.0
1,-2,0.01,0.3013
2,-2,0.01,0.6076
-2,-2,0.1,-0.6082
-1,-2,0.1,-0.3015
0,-2,0.1,0.0
1,-2,0.1,0.3015
2,-2,0.1,0.6082
-2,-2,0.2,-0.6097
-1,-2,0.2,-0.3023
0,-2,0.2,0.0
1,-2,0.2,0.3023
2,-2,0.2,0.6097
-2,-2,0.5,-0.6247
-1,-2,0.5,-0.3098
0,-2,0.5,-0.0
1,-2,0.5,0.3098
2,-2,0.5,0.6247
-2,-2,0.75,-0.6356
-1,-2,0.75,-0.3154
0,-2,0.75,0.0
1,-2,0.75,0.3154
2,-2,0.75,0.6356
-2,-2,1,-0.6927
-1,-2,1,-0.3438
0,-2,1,0.0
1,-2,1,0.3438
2,-2,1,0.6927
-2,-1,0.01,-0.5898
-1,-1,0.01,-0.2898
0,-1,0.01,0.0
1,-1,0.01,0.2898
2,-1,0.01,0.5898
-2,-1,0.1,-0.5904
-1,-1,0.1,-0.2901
0,-1,0.1,0.0
1,-1,0.1,0.2901
2,-1,0.1,0.5904
-2,-1,0.2,-0.5919
-1,-1,0.2,-0.2908
0,-1,0.2,0.0
1,-1,0.2,0.2908
2,-1,0.2,0.5919
-2,-1,0.5,-0.6072
-1,-1,0.5,-0.2985
0,-1,0.5,0.0
1,-1,0.5,0.2985
2,-1,0.5,0.6072
-2,-1,0.75,-0.6206
-1,-1,0.75,-0.3057
0,-1,0.75,0.0
1,-1,0.75,0.3057
2,-1,0.75,0.6206
-2,-1,1,-0.6783
-1,-1,1,-0.3343
0,-1,1,0.0
1,-1,1,0.3343
2,-1,1,0.6783
-2,0,0.01,-0.5826
-1,0,0.01,-0.2853
0,0,0.01,0.0
1,0,0.01,0.2853
2,0,0.01,0.5826
-2,0,0.1,-0.5832
-1,0,0.1,-0.2856
0,0,0.1,0.0
1,0,0.1,0.2856
2,0,0.1,0.5832
-2,0,0.2,-0.5847
-1,0,0.2,-0.2864
0,0,0.2,0.0
1,0,0.2,0.2864
2,0,0.2,0.5847
-2,0,0.5,-0.6001
-1,0,0.5,-0.2941
0,0,0.5,0.0
1,0,0.5,0.2941
2,0,0.5,0.6001
-2,0,0.75,-0.6145
-1,0,0.75,-0.3018
0,0,0.75,0.0
1,0,0.75,0.3018
2,0,0.75,0.6145
-2,0,1,-0.6724
-1,0,1,-0.3305
0,0,1,0.0
1,0,1,0.3305
2,0,1,0.6724
-2,1,0.01,-0.5898
-1,1,0.01,-0.2898
0,1,0.01,0.0
1,1,0.01,0.2898
2,1,0.01,0.5898
-2,1,0.1,-0.5904
-1,1,0.1,-0.2901
0,1,0.1,0.0
1,1,0.1,0.2901
2,1,0.1,0.5904
-2,1,0.2,-0.5919
-1,1,0.2,-0.2908
0,1,0.2,0.0
1,1,0.2,0.2908
2,1,0.2,0.5919
-2,1,0.5,-0.6072
-1,1,0.5,-0.2985
0,1,0.5,0.0
1,1,0.5,0.2985
2,1,0.5,0.6072
-2,1,0.75,-0.6206
-1,1,0.75,-0.3057
0,1,0.75,0.0
1,1,0.75,0.3057
2,1,0.75,0.6206
-2,1,1,-0.6783
-1,1,1,-0.3343
0,1,1,0.0
1,1,1,0.3343
2,1,1,0.6783
-2,2,0.01,-0.6076
-1,2,0.01,-0.3013
0,2,0.01,0.0
1,2,0.01,0.3013
2,2,0.01,0.6076
-2,2,0.1,-0.6082
-1,2,0.1,-0.3015
0,2,0.1,0.0
1,2,0.1,0.3015
2,2,0.1,0.6082
-2,2,0.2,-0.6097
-1,2,0.2,-0.3023
0,2,0.2,0.0
1,2,0.2,0.3023
2,2,0.2,0.6097
-2,2,0.5,-0.6247
-1,2,0.5,-0.3098
0,2,0.5,0.0
1,2,0.5,0.3098
2,2,0.5,0.6247
-2,2,0.75,-0.6356
-1,2,0.75,-0.3154
0,2,0.75,0.0
1,2,0.75,0.3154
2,2,0.75,0.6356
-2,2,1,-0.6927
-1,2,1,-0.3438
0,2,1,0.0
1,2,1,0.3438
2,2,1,0.6927
