alpha [deg],beta [deg],mach [-],CNp [1/rad]
-2,-2,0.01,-0.6125
-1,-2,0.01,-0.298
0,-2,0.01,-0.0031
1,-2,0.01,0.2938
2,-2,0.01,0.6125
-2,-2,0.1,-0.6143
-1,-2,0.1,-0.2988
0,-2,0.1,-0.0031
1,-2,0.1,0.2946
2,-2,0.1,0.6143
-2,-2,0.2,-0.6152
-1,-2,0.2,-0.2991
0,-2,0.2,-0.0031
1,-2,0.2,0.2949
2,-2,0.2,0.6152
-2,-2,0.5,-0.6064
-1,-2,0.5,-0.2936
0,-2,0.5,-0.0031
1,-2,0.5,0.2895
2,-2,0.5,0.6064
-2,-2,0.75,-0.4935
-1,-2,0.75,-0.2385
0,-2,0.75,-0.0025
1,-2,0.75,0.2351
2,-2,0.75,0.4935
-2,-2,1,-0.4212
-1,-2,1,-0.2031
0,-2,1,-0.0023
1,-2,1,0.2
2,-2,1,0.4212
-2,-1,0.01,-1.0673
-1,-1,0.01,-0.6389
0,-1,0.01,-0.0005
1,-1,0.01,0.6389
2,-1,0.01,1.0686
-2,-1,0.1,-1.07
-1,-1,0.1,-0.6404
0,-1,0.1,-0.0005
1,-1,0.1,0.6404
2,-1,0.1,1.0713
-2,-1,0.2,-1.0713
-1,-1,0.2,-0.6411
0,-1,0.2,-0.0005
1,-1,0.2,0.6411
2,-1,0.2,1.0726
-2,-1,0.5,-1.0575
-1,-1,0.5,-0.6331
0,-1,0.5,-0.0005
1,-1,0.5,0.6331
2,-1,0.5,1.0588
-2,-1,0.75,-0.8796
-1,-1,0.75,-0.5289
0,-1,0.75,-0.0004
1,-1,0.75,0.5289
2,-1,0.75,0.8807
-2,-1,1,-0.7775
-1,-1,1,-0.4711
0,-1,1,-0.0004
1,-1,1,0.4711
2,-1,1,0.7784
-2,0,0.01,-1.2773
-1,0,0.01,-0.7741
0,0,0.01,-0.0
1,0,0.01,0.7741
2,0,0.01,1.2773
-2,0,0.1,-1.2803
-1,0,0.1,-0.7761
0,0,0.1,-0.0
1,0,0.1,0.7761
2,0,0.1,1.2803
-2,0,0.2,-1.2817
-1,0,0.2,-0.7772
0,0,0.2,-0.0
1,0,0.2,0.7771
2,0,0.2,1.2817
-2,0,0.5,-1.2658
-1,0,0.5,-0.7687
0,0,0.5,-0.0
1,0,0.5,0.7687
2,0,0.5,1.2658
-2,0,0.75,-1.0574
-1,0,0.75,-0.6451
0,0,0.75,-0.0
1,0,0.75,0.6451
2,0,0.75,1.0574
-2,0,1,-0.942
-1,0,1,-0.5781
0,0,1,-0.0
1,0,1,0.5781
2,0,1,0.942
-2,1,0.01,-1.0686
-1,1,0.01,-0.6389
0,1,0.01,0.0005
1,1,0.01,0.6389
2,1,0.01,1.0673
-2,1,0.1,-1.0713
-1,1,0.1,-0.6404
0,1,0.1,0.0005
1,1,0.1,0.6404
2,1,0.1,1.07
-2,1,0.2,-1.0726
-1,1,0.2,-0.6411
0,1,0.2,0.0005
1,1,0.2,0.6411
2,1,0.2,1.0713
-2,1,0.5,-1.0588
-1,1,0.5,-0.6331
0,1,0.5,0.0005
1,1,0.5,0.6331
2,1,0.5,1.0575
-2,1,0.75,-0.8807
-1,1,0.75,-0.5289
0,1,0.75,0.0004
1,1,0.75,0.5289
2,1,0.75,0.8796
-2,1,1,-0.7784
-1,1,1,-0.4711
0,1,1,0.0004
1,1,1,0.4711
2,1,1,0.7775
-2,2,0.01,-0.6125
-1,2,0.01,-0.2938
0,2,0.01,0.0031
1,2,0.01,0.298
2,2,0.01,0.6125
-2,2,0.1,-0.6143
-1,2,0.1,-0.2946
0,2,0.1,0.0031
1,2,0.1,0.2988
2,2,0.1,0.6143
-2,2,0.2,-0.6153
-1,2,0.2,-0.2948
0,2,0.2,0.0031
1,2,0.2,0.2991
2,2,0.2,0.6152
-2,2,0.5,-0.6064
-1,2,0.5,-0.2895
0,2,0.5,0.0031
1,2,0.5,0.2936
2,2,0.5,0.6064
-2,2,0.75,-0.4935
-1,2,0.75,-0.2351
0,2,0.75,0.0025
1,2,0.75,0.2385
2,2,0.75,0.4935
-2,2,1,-0.4212
-1,2,1,-0.2
0,2,1,0.0023
1,2,1,0.2031
2,2,1,0.4212
