alpha [deg],beta [deg],mach [-],CNr [1/rad]
-2,-2,0.01,-133.7815
-1,-2,0.01,-167.0
0,-2,0.01,-185.5798
1,-2,0.01,-163.5386
2,-2,0.01,-133.7815
-2,-2,0.1,-133.7952
-1,-2,0.1,-167.0667
0,-2,0.1,-185.6783
1,-2,0.1,-163.581
2,-2,0.1,-133.7952
-2,-2,0.2,-133.8883
-1,-2,0.2,-167.2813
0,-2,0.2,-185.9389
1,-2,0.2,-163.7522
2,-2,0.2,-133.8883
-2,-2,0.5,-134.8665
-1,-2,0.5,-169.6313
0,-2,0.5,-189.0005
1,-2,0.5,-165.5379
2,-2,0.5,-134.8666
-2,-2,0.75,-131.2744
-1,-2,0.75,-166.6474
0,-2,0.75,-186.3459
1,-2,0.75,-162.5117
2,-2,0.75,-131.2744
-2,-2,1,-134.915
-1,-2,1,-171.188
0,-2,1,-191.1964
1,-2,1,-167.8241
2,-2,1,-134.915
-2,-1,0.01,-93.7181
-1,-1,0.01,-134.3264
0,-1,0.01,-186.1443
1,-1,0.01,-134.3264
2,-1,0.01,-84.5446
-2,-1,0.1,-93.6873
-1,-1,0.1,-134.3387
0,-1,0.1,-186.2585
1,-1,0.1,-134.3387
2,-1,0.1,-84.5511
-2,-1,0.2,-93.6581
-1,-1,0.2,-134.4275
0,-1,0.2,-186.5542
1,-1,0.2,-134.4275
2,-1,0.2,-84.6056
-2,-1,0.5,-93.3916
-1,-1,0.5,-135.3703
0,-1,0.5,-189.8984
1,-1,0.5,-135.3703
2,-1,0.5,-85.275
-2,-1,0.75,-88.8019
-1,-1,0.75,-131.7356
0,-1,0.75,-187.2775
1,-1,0.75,-131.7356
2,-1,0.75,-83.1311
-2,-1,1,-90.1655
-1,-1,1,-135.449
0,-1,1,-192.0096
1,-1,1,-135.449
2,-1,1,-85.2506
-2,0,0.01,-9.288
-1,0,0.01,-5.075
0,0,0.01,-0.0
1,0,0.01,5.075
2,0,0.01,9.288
-2,0,0.1,-9.2424
-1,0,0.1,-5.0474
0,0,0.1,-0.0
1,0,0.1,5.0473
2,0,0.1,9.2423
-2,0,0.2,-9.1127
-1,0,0.2,-4.9584
0,0,0.2,-0.0
1,0,0.2,4.9584
2,0,0.2,9.1127
-2,0,0.5,-8.1738
-1,0,0.5,-4.3916
0,0,0.5,-0.0
1,0,0.5,4.3916
2,0,0.5,8.1738
-2,0,0.75,-6.1082
-1,0,0.75,-3.3505
0,0,0.75,-0.0
1,0,0.75,3.3505
2,0,0.75,6.1082
-2,0,1,-5.0141
-1,0,1,-2.7351
0,0,1,-0.0
1,0,1,2.7351
2,0,1,5.0141
-2,1,0.01,84.5446
-1,1,0.01,134.3264
0,1,0.01,186.1443
1,1,0.01,134.3264
2,1,0.01,93.7181
-2,1,0.1,84.5512
-1,1,0.1,134.3387
0,1,0.1,186.2585
1,1,0.1,134.3387
2,1,0.1,93.6873
-2,1,0.2,84.6056
-1,1,0.2,134.4275
0,1,0.2,186.5541
1,1,0.2,134.4275
2,1,0.2,93.6581
-2,1,0.5,85.275
-1,1,0.5,135.3703
0,1,0.5,189.8984
1,1,0.5,135.3702
2,1,0.5,93.3916
-2,1,0.75,83.1311
-1,1,0.75,131.7356
0,1,0.75,187.2775
1,1,0.75,131.7356
2,1,0.75,88.8019
-2,1,1,85.2506
-1,1,1,135.449
0,1,1,192.0095
1,1,1,135.449
2,1,1,90.1655
-2,2,0.01,133.7815
-1,2,0.01,163.5386
0,2,0.01,185.5797
1,2,0.01,167.0
2,2,0.01,133.7815
-2,2,0.1,133.7952
-1,2,0.1,163.581
0,2,0.1,185.6783
1,2,0.1,167.0667
2,2,0.1,133.7951
-2,2,0.2,133.8883
-1,2,0.2,163.7522
0,2,0.2,185.9389
1,2,0.2,167.2813
2,2,0.2,133.8883
-2,2,0.5,134.8666
-1,2,0.5,165.5379
0,2,0.5,189.0005
1,2,0.5,169.6313
2,2,0.5,134.8665
-2,2,0.75,131.2744
-1,2,0.75,162.5117
0,2,0.75,186.3459
1,2,0.75,166.6474
2,2,0.75,131.2744
-2,2,1,134.915
-1,2,1,167.8241
0,2,1,191.1964
1,2,1,171.188
2,2,1,134.915
