alpha [deg],beta [deg],mach [-],CY0 [-]
-2,-2,0.01,0.6076
-1,-2,0.01,0.5898
0,-2,0.01,0.5826
1,-2,0.01,0.5898
2,-2,0.01,0.6076
-2,-2,0.1,0.6082
-1,-2,0.1,0.5904
0,-2,0.1,0.5832
1,-2,0.1,0.5904
2,-2,0.1,0.6082
-2,-2,0.2,0.6097
-1,-2,0.2,0.5919
0,-2,0.2,0.5847
1,-2,0.2,0.5919
2,-2,0.2,0.6097
-2,-2,0.5,0.6247
-1,-2,0.5,0.6072
0,-2,0.5,0.6001
1,-2,0.5,0.6072
2,-2,0.5,0.6247
-2,-2,0.75,0.6356
-1,-2,0.75,0.6206
0,-2,0.75,0.6145
1,-2,0.75,0.6206
2,-2,0.75,0.6356
-2,-2,1,0.6927
-1,-2,1,0.6783
0,-2,1,0.6724
1,-2,1,0.6783
2,-2,1,0.6927
-2,-1,0.01,0.3013
-1,-1,0.01,0.2898
0,-1,0.01,0.2853
1,-1,0.01,0.2898
2,-1,0.01,0.3013
-2,-1,0.1,0.3015
-1,-1,0.1,0.2901
0,-1,0.1,0.2856
1,-1,0.1,0.2901
2,-1,0.1,0.3015
-2,-1,0.2,0.3023
-1,-1,0.2,0.2908
0,-1,0.2,0.2864
1,-1,0.2,0.2908
2,-1,0.2,0.3023
-2,-1,0.5,0.3098
-1,-1,0.5,0.2985
0,-1,0.5,0.2941
1,-1,0.5,0.2985
2,-1,0.5,0.3098
-2,-1,0.75,0.3154
-1,-1,0.75,0.3057
0,-1,0.75,0.3018
1,-1,0.75,0.3057
2,-1,0.75,0.3154
-2,-1,1,0.3438
-1,-1,1,0.3343
0,-1,1,0.3305
1,-1,1,0.3343
2,-1,1,0.3438
-2,0,0.01,0.0
-1,0,0.01,0.0
0,0,0.01,0.0
1,0,0.01,-0.0
2,0,0.01,0.0
-2,0,0.1,0.0
-1,0,0.1,0.0
0,0,0.1,0.0
1,0,0.1,-0.0
2,0,0.1,0.0
-2,0,0.2,0.0
-1,0,0.2,0.0
0,0,0.2,0.0
1,0,0.2,-0.0
2,0,0.2,0.0
-2,0,0.5,0.0
-1,0,0.5,0.0
0,0,0.5,0.0
1,0,0.5,-0.0
2,0,0.5,-0.0
-2,0,0.75,0.0
-1,0,0.75,0.0
0,0,0.75,0.0
1,0,0.75,-0.0
2,0,0.75,0.0
-2,0,1,0.0
-1,0,1,0.0
0,0,1,0.0
1,0,1,-0.0
2,0,1,-0.0
-2,1,0.01,-0.3013
-1,1,0.01,-0.2898
0,1,0.01,-0.2853
1,1,0.01,-0.2898
2,1,0.01,-0.3013
-2,1,0.1,-0.3015
-1,1,0.1,-0.2901
0,1,0.1,-0.2856
1,1,0.1,-0.2901
2,1,0.1,-0.3015
-2,1,0.2,-0.3023
-1,1,0.2,-0.2908
0,1,0.2,-0.2864
1,1,0.2,-0.2908
2,1,0.2,-0.3023
-2,1,0.5,-0.3098
-1,1,0.5,-0.2985
0,1,0.5,-0.2941
1,1,0.5,-0.2985
2,1,0.5,-0.3098
-2,1,0.75,-0.3154
-1,1,0.75,-0.3057
0,1,0.75,-0.3018
1,1,0.75,-0.3057
2,1,0.75,-0.3154
-2,1,1,-0.3438
-1,1,1,-0.3343
0,1,1,-0.3305
1,1,1,-0.3343
2,1,1,-0.3438
-2,2,0.01,-0.6076
-1,2,0.01,-0.5898
0,2,0.01,-0.5826
1,2,0.01,-0.5898
2,2,0.01,-0.6076
-2,2,0.1,-0.6082
-1,2,0.1,-0.5904
0,2,0.1,-0.5832
1,2,0.1,-0.5904
2,2,0.1,-0.6082
-2,2,0.2,-0.6097
-1,2,0.2,-0.5919
0,2,0.2,-0.5847
1,2,0.2,-0.5919
2,2,0.2,-0.6097
-2,2,0.5,-0.6247
-1,2,0.5,-0.6072
0,2,0.5,-0.6001
1,2,0.5,-0.6072
2,2,0.5,-0.6247
-2,2,0.75,-0.6356
-1,2,0.75,-0.6206
0,2,0.75,-0.6145
1,2,0.75,-0.6206
2,2,0.75,-0.6356
-2,2,1,-0.6927
-1,2,1,-0.6783
0,2,1,-0.6724
1,2,1,-0.6783
2,2,1,-0.6927
