alpha [deg],beta [deg],mach [-],CYr [1/rad]
-2,-2,0.01,-112.8201
-1,-2,0.01,-63.5832
0,-2,0.01,30.2494
1,-2,0.01,114.6794
2,-2,0.01,154.7429
-2,-2,0.1,-112.8286
-1,-2,0.1,-63.5846
0,-2,0.1,30.2089
1,-2,0.1,114.6538
2,-2,0.1,154.7616
-2,-2,0.2,-112.916
-1,-2,0.2,-63.6333
0,-2,0.2,30.0849
1,-2,0.2,114.6303
2,-2,0.2,154.8605
-2,-2,0.5,-113.8772
-1,-2,0.5,-64.2857
0,-2,0.5,29.1631
1,-2,0.5,114.381
2,-2,0.5,155.8559
-2,-2,0.75,-110.2709
-1,-2,0.75,-62.1275
0,-2,0.75,27.1118
1,-2,0.75,109.8055
2,-2,0.75,152.278
-2,-2,1,-110.8725
-1,-2,1,-61.2081
0,-2,1,29.0565
1,-2,1,114.208
2,-2,1,158.9574
-2,-1,0.01,-143.582
-1,-1,0.01,-114.3697
0,-1,0.01,25.0316
1,-1,0.01,154.283
2,-1,0.01,186.9566
-2,-1,0.1,-143.6227
-1,-1,0.1,-114.3804
0,-1,0.1,25.0057
1,-1,0.1,154.297
2,-1,0.1,187.025
-2,-1,0.2,-143.7919
-1,-1,0.2,-114.4673
0,-1,0.2,24.9186
1,-1,0.2,154.3877
2,-1,0.2,187.2415
-2,-1,0.5,-145.572
-1,-1,0.5,-115.4043
0,-1,0.5,24.3575
1,-1,0.5,155.3362
2,-1,0.5,189.5972
-2,-1,0.75,-142.5411
-1,-1,0.75,-111.765
0,-1,0.75,23.3212
1,-1,0.75,151.7063
2,-1,0.75,186.6181
-2,-1,1,-145.005
-1,-1,1,-112.6298
0,-1,1,25.5542
1,-1,1,158.2681
2,-1,1,194.0071
-2,0,0.01,205.5363
-1,0,0.01,206.1009
0,0,0.01,206.3813
1,0,0.01,206.1009
2,0,0.01,205.5363
-2,0,0.1,205.6366
-1,0,0.1,206.2168
0,0,0.1,206.5048
1,0,0.1,206.2168
2,0,0.1,205.6366
-2,0,0.2,205.8991
-1,0,0.2,206.5144
0,0,0.2,206.8237
1,0,0.2,206.5144
2,0,0.2,205.8991
-2,0,0.5,208.9664
-1,0,0.5,209.8643
0,0,0.5,210.315
1,0,0.5,209.8643
2,0,0.5,208.9664
-2,0,0.75,206.3166
-1,0,0.75,207.2482
0,0,0.75,207.6857
1,0,0.75,207.2482
2,0,0.75,206.3165
-2,0,1,214.0155
-1,0,1,214.8286
0,0,1,215.2348
1,0,1,214.8286
2,0,1,214.0155
-2,1,0.01,-143.8347
-1,1,0.01,-111.1611
0,1,0.01,18.0903
1,1,0.01,157.4916
2,1,0.01,186.7038
-2,1,0.1,-143.886
-1,1,0.1,-111.1581
0,1,0.1,18.1333
1,1,0.1,157.5193
2,1,0.1,186.7617
-2,1,0.2,-144.0835
-1,1,0.2,-111.2298
0,1,0.2,18.2394
1,1,0.2,157.6252
2,1,0.2,186.9499
-2,1,0.5,-146.3823
-1,1,0.5,-112.1213
0,1,0.5,18.8574
1,1,0.5,158.6192
2,1,0.5,188.7868
-2,1,0.75,-143.3558
-1,1,0.75,-108.444
0,1,0.75,19.9411
1,1,0.75,155.0273
2,1,0.75,185.8034
-2,1,1,-144.4258
-1,1,1,-108.6868
0,1,1,24.0271
1,1,1,162.2112
2,1,1,194.5862
-2,2,0.01,-107.0543
-1,2,0.01,-66.9909
0,2,0.01,17.4392
1,2,0.01,111.2717
2,2,0.01,160.5087
-2,2,0.1,-107.0254
-1,2,0.1,-66.9175
0,2,0.1,17.5275
1,2,0.1,111.3209
2,2,0.1,160.5649
-2,2,0.2,-107.0712
-1,2,0.2,-66.841
0,2,0.2,17.7044
1,2,0.2,111.4226
2,2,0.2,160.7054
-2,2,0.5,-107.9075
-1,2,0.5,-66.4325
0,2,0.5,18.7853
1,2,0.5,112.2341
2,2,0.5,161.8257
-2,2,0.75,-104.197
-1,2,0.75,-61.7245
0,2,0.75,20.9692
1,2,0.75,110.2085
2,2,0.75,158.3519
-2,2,1,-103.6183
-1,2,1,-58.8688
0,2,1,26.2826
1,2,1,116.5473
2,2,1,166.2116
