alpha,beta,mach,Cl_p [1/rad]
-0.03490658503988659,-0.03490658503988659,0.01,-29.1366
-0.03490658503988659,-0.017453292519943295,0.01,-28.7257
-0.03490658503988659,0.0,0.01,-28.591
-0.03490658503988659,0.017453292519943295,0.01,-28.7237
-0.03490658503988659,0.03490658503988659,0.01,-29.1366
-0.017453292519943295,-0.03490658503988659,0.01,-28.7237
-0.017453292519943295,-0.017453292519943295,0.01,-28.0081
-0.017453292519943295,0.0,0.01,-27.768
-0.017453292519943295,0.017453292519943295,0.01,-28.0081
-0.017453292519943295,0.03490658503988659,0.01,-28.7257
0.0,-0.03490658503988659,0.01,-28.591
0.0,-0.017453292519943295,0.01,-27.768
0.0,0.0,0.01,-27.4205
0.0,0.017453292519943295,0.01,-27.768
0.0,0.03490658503988659,0.01,-28.591
0.017453292519943295,-0.03490658503988659,0.01,-28.7257
0.017453292519943295,-0.017453292519943295,0.01,-28.0081
0.017453292519943295,0.0,0.01,-27.768
0.017453292519943295,0.017453292519943295,0.01,-28.0081
0.017453292519943295,0.03490658503988659,0.01,-28.7237
0.03490658503988659,-0.03490658503988659,0.01,-29.1366
0.03490658503988659,-0.017453292519943295,0.01,-28.7237
0.03490658503988659,0.0,0.01,-28.591
0.03490658503988659,0.017453292519943295,0.01,-28.7257
0.03490658503988659,0.03490658503988659,0.01,-29.1366
-0.03490658503988659,-0.03490658503988659,0.1,-29.3089
-0.03490658503988659,-0.017453292519943295,0.1,-28.8914
-0.03490658503988659,0.0,0.1,-28.7517
-0.03490658503988659,0.017453292519943295,0.1,-28.8894
-0.03490658503988659,0.03490658503988659,0.1,-29.3089
-0.017453292519943295,-0.03490658503988659,0.1,-28.8894
-0.017453292519943295,-0.017453292519943295,0.1,-28.1568
-0.017453292519943295,0.0,0.1,-27.9101
-0.017453292519943295,0.017453292519943295,0.1,-28.1568
-0.017453292519943295,0.03490658503988659,0.1,-28.8914
0.0,-0.03490658503988659,0.1,-28.7517
0.0,-0.017453292519943295,0.1,-27.9101
0.0,0.0,0.1,-27.5571
0.0,0.017453292519943295,0.1,-27.9101
0.0,0.03490658503988659,0.1,-28.7517
0.017453292519943295,-0.03490658503988659,0.1,-28.8914
0.017453292519943295,-0.017453292519943295,0.1,-28.1568
0.017453292519943295,0.0,0.1,-27.9101
0.017453292519943295,0.017453292519943295,0.1,-28.1568
0.017453292519943295,0.03490658503988659,0.1,-28.8894
0.03490658503988659,-0.03490658503988659,0.1,-29.3089
0.03490658503988659,-0.017453292519943295,0.1,-28.8894
0.03490658503988659,0.0,0.1,-28.7517
0.03490658503988659,0.017453292519943295,0.1,-28.8914
0.03490658503988659,0.03490658503988659,0.1,-29.3089
-0.03490658503988659,-0.03490658503988659,0.2,-29.55
-0.03490658503988659,-0.017453292519943295,0.2,-29.1263
-0.03490658503988659,0.0,0.2,-28.9813
-0.03490658503988659,0.017453292519943295,0.2,-29.1243
-0.03490658503988659,0.03490658503988659,0.2,-29.55
-0.017453292519943295,-0.03490658503988659,0.2,-29.1243
-0.017453292519943295,-0.017453292519943295,0.2,-28.3738
-0.017453292519943295,0.0,0.2,-28.1203
-0.017453292519943295,0.017453292519943295,0.2,-28.3738
-0.017453292519943295,0.03490658503988659,0.2,-29.1263
0.0,-0.03490658503988659,0.2,-28.9813
0.0,-0.017453292519943295,0.2,-28.1203
0.0,0.0,0.2,-27.7615
0.0,0.017453292519943295,0.2,-28.1203
0.0,0.03490658503988659,0.2,-28.9813
0.017453292519943295,-0.03490658503988659,0.2,-29.1263
0.017453292519943295,-0.017453292519943295,0.2,-28.3738
0.017453292519943295,0.0,0.2,-28.1203
0.017453292519943295,0.017453292519943295,0.2,-28.3738
0.017453292519943295,0.03490658503988659,0.2,-29.1243
0.03490658503988659,-0.03490658503988659,0.2,-29.55
0.03490658503988659,-0.017453292519943295,0.2,-29.1243
0.03490658503988659,0.0,0.2,-28.9813
0.03490658503988659,0.017453292519943295,0.2,-29.1263
0.03490658503988659,0.03490658503988659,0.2,-29.55
-0.03490658503988659,-0.03490658503988659,0.5,-30.8748
-0.03490658503988659,-0.017453292519943295,0.5,-30.4557
-0.03490658503988659,0.0,0.5,-30.296
-0.03490658503988659,0.017453292519943295,0.5,-30.4535
-0.03490658503988659,0.03490658503988659,0.5,-30.8748
-0.017453292519943295,-0.03490658503988659,0.5,-30.4535
-0.017453292519943295,-0.017453292519943295,0.5,-29.6582
-0.017453292519943295,0.0,0.5,-29.3857
-0.017453292519943295,0.017453292519943295,0.5,-29.6582
-0.017453292519943295,0.03490658503988659,0.5,-30.4557
0.0,-0.03490658503988659,0.5,-30.296
0.0,-0.017453292519943295,0.5,-29.3857
0.0,0.0,0.5,-29.0153
0.0,0.017453292519943295,0.5,-29.3857
0.0,0.03490658503988659,0.5,-30.296
0.017453292519943295,-0.03490658503988659,0.5,-30.4557
0.017453292519943295,-0.017453292519943295,0.5,-29.6582
0.017453292519943295,0.0,0.5,-29.3857
0.017453292519943295,0.017453292519943295,0.5,-29.6582
0.017453292519943295,0.03490658503988659,0.5,-30.4535
0.03490658503988659,-0.03490658503988659,0.5,-30.8748
0.03490658503988659,-0.017453292519943295,0.5,-30.4535
0.03490658503988659,0.0,0.5,-30.296
0.03490658503988659,0.017453292519943295,0.5,-30.4557
0.03490658503988659,0.03490658503988659,0.5,-30.8748
-0.03490658503988659,-0.03490658503988659,0.75,-31.7903
-0.03490658503988659,-0.017453292519943295,0.75,-31.4634
-0.03490658503988659,0.0,0.75,-31.3146
-0.03490658503988659,0.017453292519943295,0.75,-31.4616
-0.03490658503988659,0.03490658503988659,0.75,-31.7903
-0.017453292519943295,-0.03490658503988659,0.75,-31.4616
-0.017453292519943295,-0.017453292519943295,0.75,-30.737
-0.017453292519943295,0.0,0.75,-30.4862
-0.017453292519943295,0.017453292519943295,0.75,-30.737
-0.017453292519943295,0.03490658503988659,0.75,-31.4634
0.0,-0.03490658503988659,0.75,-31.3146
0.0,-0.017453292519943295,0.75,-30.4862
0.0,0.0,0.75,-30.1547
0.0,0.017453292519943295,0.75,-30.4862
0.0,0.03490658503988659,0.75,-31.3146
0.017453292519943295,-0.03490658503988659,0.75,-31.4634
0.017453292519943295,-0.017453292519943295,0.75,-30.737
0.017453292519943295,0.0,0.75,-30.4862
0.017453292519943295,0.017453292519943295,0.75,-30.737
0.017453292519943295,0.03490658503988659,0.75,-31.4616
0.03490658503988659,-0.03490658503988659,0.75,-31.7903
0.03490658503988659,-0.017453292519943295,0.75,-31.4616
0.03490658503988659,0.0,0.75,-31.3146
0.03490658503988659,0.017453292519943295,0.75,-31.4634
0.03490658503988659,0.03490658503988659,0.75,-31.7903
-0.03490658503988659,-0.03490658503988659,1,-33.899
-0.03490658503988659,-0.017453292519943295,1,-33.6161
-0.03490658503988659,0.0,1,-33.45
-0.03490658503988659,0.017453292519943295,1,-33.6143
-0.03490658503988659,0.03490658503988659,1,-33.899
-0.017453292519943295,-0.03490658503988659,1,-33.6143
-0.017453292519943295,-0.017453292519943295,1,-32.8322
-0.017453292519943295,0.0,1,-32.5509
-0.017453292519943295,0.017453292519943295,1,-32.8322
-0.017453292519943295,0.03490658503988659,1,-33.6161
0.0,-0.03490658503988659,1,-33.45
0.0,-0.017453292519943295,1,-32.5509
0.0,0.0,1,-32.2089
0.0,0.017453292519943295,1,-32.5509
0.0,0.03490658503988659,1,-33.45
0.017453292519943295,-0.03490658503988659,1,-33.6161
0.017453292519943295,-0.017453292519943295,1,-32.8322
0.017453292519943295,0.0,1,-32.5509
0.017453292519943295,0.017453292519943295,1,-32.8322
0.017453292519943295,0.03490658503988659,1,-33.6143
0.03490658503988659,-0.03490658503988659,1,-33.899
0.03490658503988659,-0.017453292519943295,1,-33.6143
0.03490658503988659,0.0,1,-33.45
0.03490658503988659,0.017453292519943295,1,-33.6161
0.03490658503988659,0.03490658503988659,1,-33.899
