alpha,beta,mach,Cnq [1/rad]
-0.03490658503988659,-0.03490658503988659,0.01,-759.9071
-0.03490658503988659,-0.017453292519943295,0.01,-513.2665
-0.03490658503988659,0.0,0.01,0.0
-0.03490658503988659,0.017453292519943295,0.01,513.2665
-0.03490658503988659,0.03490658503988659,0.01,759.9072
-0.017453292519943295,-0.03490658503988659,0.01,-944.3563
-0.017453292519943295,-0.017453292519943295,0.01,-763.4222
-0.017453292519943295,0.0,0.01,0.0001
-0.017453292519943295,0.017453292519943295,0.01,763.4222
-0.017453292519943295,0.03490658503988659,0.01,944.3566
0.0,-0.03490658503988659,0.01,-1091.6567
0.0,-0.017453292519943295,0.01,-1071.2256
0.0,0.0,0.01,0.0001
0.0,0.017453292519943295,0.01,1071.2256
0.0,0.03490658503988659,0.01,1091.6567
0.017453292519943295,-0.03490658503988659,0.01,-944.3563
0.017453292519943295,-0.017453292519943295,0.01,-763.4222
0.017453292519943295,0.0,0.01,0.0001
0.017453292519943295,0.017453292519943295,0.01,763.4222
0.017453292519943295,0.03490658503988659,0.01,944.3563
0.03490658503988659,-0.03490658503988659,0.01,-759.9071
0.03490658503988659,-0.017453292519943295,0.01,-513.2662
0.03490658503988659,0.0,0.01,0.0001
0.03490658503988659,0.017453292519943295,0.01,513.2663
0.03490658503988659,0.03490658503988659,0.01,759.9072
-0.03490658503988659,-0.03490658503988659,0.1,-759.4977
-0.03490658503988659,-0.017453292519943295,0.1,-512.8698
-0.03490658503988659,0.0,0.1,0.0001
-0.03490658503988659,0.017453292519943295,0.1,512.8696
-0.03490658503988659,0.03490658503988659,0.1,759.4978
-0.017453292519943295,-0.03490658503988659,0.1,-944.3151
-0.017453292519943295,-0.017453292519943295,0.1,-763.236
-0.017453292519943295,0.0,0.1,0.0
-0.017453292519943295,0.017453292519943295,0.1,763.2361
-0.017453292519943295,0.03490658503988659,0.1,944.3156
0.0,-0.03490658503988659,0.1,-1091.907
0.0,-0.017453292519943295,0.1,-1071.665
0.0,0.0,0.1,0.0
0.0,0.017453292519943295,0.1,1071.6652
0.0,0.03490658503988659,0.1,1091.907
0.017453292519943295,-0.03490658503988659,0.1,-944.3152
0.017453292519943295,-0.017453292519943295,0.1,-763.2361
0.017453292519943295,0.0,0.1,0.0001
0.017453292519943295,0.017453292519943295,0.1,763.236
0.017453292519943295,0.03490658503988659,0.1,944.3153
0.03490658503988659,-0.03490658503988659,0.1,-759.4977
0.03490658503988659,-0.017453292519943295,0.1,-512.8694
0.03490658503988659,0.0,0.1,0.0
0.03490658503988659,0.017453292519943295,0.1,512.8696
0.03490658503988659,0.03490658503988659,0.1,759.4978
-0.03490658503988659,-0.03490658503988659,0.2,-758.6005
-0.03490658503988659,-0.017453292519943295,0.2,-512.0317
-0.03490658503988659,0.0,0.2,0.0001
-0.03490658503988659,0.017453292519943295,0.2,512.0317
-0.03490658503988659,0.03490658503988659,0.2,758.6007
-0.017453292519943295,-0.03490658503988659,0.2,-944.4329
-0.017453292519943295,-0.017453292519943295,0.2,-762.9639
-0.017453292519943295,0.0,0.2,0.0
-0.017453292519943295,0.017453292519943295,0.2,762.964
-0.017453292519943295,0.03490658503988659,0.2,944.4329
0.0,-0.03490658503988659,0.2,-1092.4968
0.0,-0.017453292519943295,0.2,-1072.6818
0.0,0.0,0.2,0.0
0.0,0.017453292519943295,0.2,1072.6818
0.0,0.03490658503988659,0.2,1092.4968
0.017453292519943295,-0.03490658503988659,0.2,-944.4329
0.017453292519943295,-0.017453292519943295,0.2,-762.9638
0.017453292519943295,0.0,0.2,0.0001
0.017453292519943295,0.017453292519943295,0.2,762.964
0.017453292519943295,0.03490658503988659,0.2,944.4329
0.03490658503988659,-0.03490658503988659,0.2,-758.6005
0.03490658503988659,-0.017453292519943295,0.2,-512.0314
0.03490658503988659,0.0,0.2,0.0001
0.03490658503988659,0.017453292519943295,0.2,512.0317
0.03490658503988659,0.03490658503988659,0.2,758.6007
-0.03490658503988659,-0.03490658503988659,0.5,-750.4999
-0.03490658503988659,-0.017453292519943295,0.5,-504.2976
-0.03490658503988659,0.0,0.5,0.0001
-0.03490658503988659,0.017453292519943295,0.5,504.2976
-0.03490658503988659,0.03490658503988659,0.5,750.4999
-0.017453292519943295,-0.03490658503988659,0.5,-946.6323
-0.017453292519943295,-0.017453292519943295,0.5,-761.1123
-0.017453292519943295,0.0,0.5,0.0
-0.017453292519943295,0.017453292519943295,0.5,761.1125
-0.017453292519943295,0.03490658503988659,0.5,946.6322
0.0,-0.03490658503988659,0.5,-1103.137
0.0,-0.017453292519943295,0.5,-1087.0066
0.0,0.0,0.5,0.0
0.0,0.017453292519943295,0.5,1087.0066
0.0,0.03490658503988659,0.5,1103.1372
0.017453292519943295,-0.03490658503988659,0.5,-946.6323
0.017453292519943295,-0.017453292519943295,0.5,-761.1123
0.017453292519943295,0.0,0.5,0.0001
0.017453292519943295,0.017453292519943295,0.5,761.1125
0.017453292519943295,0.03490658503988659,0.5,946.6323
0.03490658503988659,-0.03490658503988659,0.5,-750.4998
0.03490658503988659,-0.017453292519943295,0.5,-504.2975
0.03490658503988659,0.0,0.5,0.0
0.03490658503988659,0.017453292519943295,0.5,504.2975
0.03490658503988659,0.03490658503988659,0.5,750.4999
-0.03490658503988659,-0.03490658503988659,0.75,-716.3799
-0.03490658503988659,-0.017453292519943295,0.75,-475.0547
-0.03490658503988659,0.0,0.75,0.0001
-0.03490658503988659,0.017453292519943295,0.75,475.0547
-0.03490658503988659,0.03490658503988659,0.75,716.38
-0.017453292519943295,-0.03490658503988659,0.75,-917.6958
-0.017453292519943295,-0.017453292519943295,0.75,-732.4601
-0.017453292519943295,0.0,0.75,0.0
-0.017453292519943295,0.017453292519943295,0.75,732.4601
-0.017453292519943295,0.03490658503988659,0.75,917.696
0.0,-0.03490658503988659,0.75,-1073.9136
0.0,-0.017453292519943295,0.75,-1063.7266
0.0,0.0,0.75,0.0001
0.0,0.017453292519943295,0.75,1063.7269
0.0,0.03490658503988659,0.75,1073.9137
0.017453292519943295,-0.03490658503988659,0.75,-917.6958
0.017453292519943295,-0.017453292519943295,0.75,-732.46
0.017453292519943295,0.0,0.75,0.0001
0.017453292519943295,0.017453292519943295,0.75,732.4601
0.017453292519943295,0.03490658503988659,0.75,917.696
0.03490658503988659,-0.03490658503988659,0.75,-716.3798
0.03490658503988659,-0.017453292519943295,0.75,-475.0544
0.03490658503988659,0.0,0.75,0.0
0.03490658503988659,0.017453292519943295,0.75,475.0545
